"sound.files","mean.diff","sd.diff"
"calibration_M_AC8",12.0026266343226,0.0345494051376454
"calibration_M_A61",14.1737332091449,0.20950142968356
"calibration_M_A1A",14.652088824545,0.233006656061077
"calibration_M_AAE",15.5320822977168,0.314344861150966
"calibration_M_A3C",24.4956835313629,0.680285691835885
"calibration_LM_AC8",25.9750023567127,0.74633568496046
"calibration_LM_A56",22.4343832259016,0.76708187908037
"calibration_LM_A3C",20.9016375160437,0.857126770471572
"calibration_LM_A1A",22.3447358954262,0.878801617345747
"calibration_LM_AED",23.922635420055,0.902128099272169
"calibration_LM_A61",25.9747236252484,0.907948629991528
"calibration_M_A41A",40.9347970938204,0.996944829359942
"calibration_LM_ABB",35.8394332233265,1.086245914324
"calibration_LM_A41A",43.360717689624,1.17648282188386
"calibration_LM_AAE",39.4436867818108,1.20660299262075
"soundmeter",0,1.82141303787621
