Begin Time (s)	End Time (s)	Begin File	File Offset (s)	Begin Path	Selection	View	Channel	Low Freq (Hz)	High Freq (Hz)	Begin File.1	Treatment	Saturation	selec.file	ID	year	extsn	cuts	org.sound.file	old.selec
69.983863486	70.143874726	0.HC1.2013.6.5.07.12.(1)-C1_audio.mp3	40.367863486	/home/m/Dropbox/Projects/lbh_song_amplitude/data/raw/cuts/0.HC1.2013.6.5.07.12.(1)-C1_audio.mp3	23	Spectrogram 1	1	3030.5	11862.1	0.HC1.2013.6.5.07.12.(1)-C1_audio.mp3	After_interaction	NA	0.HC1.2013.6.5.07.12.(1)-C1_audio.Table.1.selections.txt	0	2013	mp3	0.HC1.2013.6.5.07.12.(1)-C1_audio.mp3	0.HC1.2013.6.5.07.12.(1)-C1_audio.mp3	13
70.476959346	70.63370505	0.HC1.2013.6.5.07.12.(1)-C1_audio.mp3	40.860959346	/home/m/Dropbox/Projects/lbh_song_amplitude/data/raw/cuts/0.HC1.2013.6.5.07.12.(1)-C1_audio.mp3	24	Spectrogram 1	1	3636.5	11775.5	0.HC1.2013.6.5.07.12.(1)-C1_audio.mp3	After_interaction	NA	0.HC1.2013.6.5.07.12.(1)-C1_audio.Table.1.selections.txt	0	2013	mp3	0.HC1.2013.6.5.07.12.(1)-C1_audio.mp3	0.HC1.2013.6.5.07.12.(1)-C1_audio.mp3	14
70.963524135	71.110473233	0.HC1.2013.6.5.07.12.(1)-C1_audio.mp3	41.347524135	/home/m/Dropbox/Projects/lbh_song_amplitude/data/raw/cuts/0.HC1.2013.6.5.07.12.(1)-C1_audio.mp3	25	Spectrogram 1	1	3290.2	12381.6	0.HC1.2013.6.5.07.12.(1)-C1_audio.mp3	After_interaction	NA	0.HC1.2013.6.5.07.12.(1)-C1_audio.Table.1.selections.txt	0	2013	mp3	0.HC1.2013.6.5.07.12.(1)-C1_audio.mp3	0.HC1.2013.6.5.07.12.(1)-C1_audio.mp3	15
71.433761247	71.597038022	0.HC1.2013.6.5.07.12.(1)-C1_audio.mp3	41.817761247	/home/m/Dropbox/Projects/lbh_song_amplitude/data/raw/cuts/0.HC1.2013.6.5.07.12.(1)-C1_audio.mp3	26	Spectrogram 1	1	3550	10736.5	0.HC1.2013.6.5.07.12.(1)-C1_audio.mp3	After_interaction	NA	0.HC1.2013.6.5.07.12.(1)-C1_audio.Table.1.selections.txt	0	2013	mp3	0.HC1.2013.6.5.07.12.(1)-C1_audio.mp3	0.HC1.2013.6.5.07.12.(1)-C1_audio.mp3	16
71.923591569	72.070540666	0.HC1.2013.6.5.07.12.(1)-C1_audio.mp3	42.307591569	/home/m/Dropbox/Projects/lbh_song_amplitude/data/raw/cuts/0.HC1.2013.6.5.07.12.(1)-C1_audio.mp3	27	Spectrogram 1	1	2943.9	11948.7	0.HC1.2013.6.5.07.12.(1)-C1_audio.mp3	After_interaction	NA	0.HC1.2013.6.5.07.12.(1)-C1_audio.Table.1.selections.txt	0	2013	mp3	0.HC1.2013.6.5.07.12.(1)-C1_audio.mp3	0.HC1.2013.6.5.07.12.(1)-C1_audio.mp3	17
72.439546177	72.58976081	0.HC1.2013.6.5.07.12.(1)-C1_audio.mp3	42.823546177	/home/m/Dropbox/Projects/lbh_song_amplitude/data/raw/cuts/0.HC1.2013.6.5.07.12.(1)-C1_audio.mp3	28	Spectrogram 1	1	3117	12121.8	0.HC1.2013.6.5.07.12.(1)-C1_audio.mp3	After_interaction	NA	0.HC1.2013.6.5.07.12.(1)-C1_audio.Table.1.selections.txt	0	2013	mp3	0.HC1.2013.6.5.07.12.(1)-C1_audio.mp3	0.HC1.2013.6.5.07.12.(1)-C1_audio.mp3	18
72.926110966	73.056732386	0.HC1.2013.6.5.07.12.(1)-C1_audio.mp3	43.310110966	/home/m/Dropbox/Projects/lbh_song_amplitude/data/raw/cuts/0.HC1.2013.6.5.07.12.(1)-C1_audio.mp3	29	Spectrogram 1	1	3982.9	11862.1	0.HC1.2013.6.5.07.12.(1)-C1_audio.mp3	After_interaction	NA	0.HC1.2013.6.5.07.12.(1)-C1_audio.Table.1.selections.txt	0	2013	mp3	0.HC1.2013.6.5.07.12.(1)-C1_audio.mp3	0.HC1.2013.6.5.07.12.(1)-C1_audio.mp3	19
73.425737897	73.556359317	0.HC1.2013.6.5.07.12.(1)-C1_audio.mp3	43.809737897	/home/m/Dropbox/Projects/lbh_song_amplitude/data/raw/cuts/0.HC1.2013.6.5.07.12.(1)-C1_audio.mp3	30	Spectrogram 1	1	3636.5	11775.5	0.HC1.2013.6.5.07.12.(1)-C1_audio.mp3	After_interaction	NA	0.HC1.2013.6.5.07.12.(1)-C1_audio.Table.1.selections.txt	0	2013	mp3	0.HC1.2013.6.5.07.12.(1)-C1_audio.mp3	0.HC1.2013.6.5.07.12.(1)-C1_audio.mp3	20
85.57285848	85.725513761	0.TR2.2013.4.16.07.03.(1)-C12_audio.mp3	0.49285848	/home/m/Dropbox/Projects/lbh_song_amplitude/data/raw/cuts/0.TR2.2013.4.16.07.03.(1)-C12_audio.mp3	31	Spectrogram 1	1	4058.8	12000	0.TR2.2013.4.16.07.03.(1)-C12_audio.mp3	Before_interaction	NA	0.TR2.2013.4.16.07.03.(1)-C12_audio.Table.1.selections.txt	0	2013	mp3	0.TR2.2013.4.16.07.03.(1)-C12_audio.mp3	0.TR2.2013.4.16.07.03.(1)-C12_audio.mp3	1
86.31432699	86.453897533	0.TR2.2013.4.16.07.03.(1)-C12_audio.mp3	1.23432699	/home/m/Dropbox/Projects/lbh_song_amplitude/data/raw/cuts/0.TR2.2013.4.16.07.03.(1)-C12_audio.mp3	32	Spectrogram 1	1	3176.5	11647.1	0.TR2.2013.4.16.07.03.(1)-C12_audio.mp3	Before_interaction	NA	0.TR2.2013.4.16.07.03.(1)-C12_audio.Table.1.selections.txt	0	2013	mp3	0.TR2.2013.4.16.07.03.(1)-C12_audio.mp3	0.TR2.2013.4.16.07.03.(1)-C12_audio.mp3	2
87.003456546	87.143027089	0.TR2.2013.4.16.07.03.(1)-C12_audio.mp3	1.923456546	/home/m/Dropbox/Projects/lbh_song_amplitude/data/raw/cuts/0.TR2.2013.4.16.07.03.(1)-C12_audio.mp3	33	Spectrogram 1	1	3352.9	11470.6	0.TR2.2013.4.16.07.03.(1)-C12_audio.mp3	Before_interaction	NA	0.TR2.2013.4.16.07.03.(1)-C12_audio.Table.1.selections.txt	0	2013	mp3	0.TR2.2013.4.16.07.03.(1)-C12_audio.mp3	0.TR2.2013.4.16.07.03.(1)-C12_audio.mp3	3
87.653331887	87.784179271	0.TR2.2013.4.16.07.03.(1)-C12_audio.mp3	2.573331887	/home/m/Dropbox/Projects/lbh_song_amplitude/data/raw/cuts/0.TR2.2013.4.16.07.03.(1)-C12_audio.mp3	34	Spectrogram 1	1	3529.4	10764.7	0.TR2.2013.4.16.07.03.(1)-C12_audio.mp3	Before_interaction	NA	0.TR2.2013.4.16.07.03.(1)-C12_audio.Table.1.selections.txt	0	2013	mp3	0.TR2.2013.4.16.07.03.(1)-C12_audio.mp3	0.TR2.2013.4.16.07.03.(1)-C12_audio.mp3	4
88.329376704	88.460224088	0.TR2.2013.4.16.07.03.(1)-C12_audio.mp3	3.249376704	/home/m/Dropbox/Projects/lbh_song_amplitude/data/raw/cuts/0.TR2.2013.4.16.07.03.(1)-C12_audio.mp3	35	Spectrogram 1	1	2647.1	11647.1	0.TR2.2013.4.16.07.03.(1)-C12_audio.mp3	Before_interaction	NA	0.TR2.2013.4.16.07.03.(1)-C12_audio.Table.1.selections.txt	0	2013	mp3	0.TR2.2013.4.16.07.03.(1)-C12_audio.mp3	0.TR2.2013.4.16.07.03.(1)-C12_audio.mp3	5
89.062122055	89.201692598	0.TR2.2013.4.16.07.03.(1)-C12_audio.mp3	3.982122055	/home/m/Dropbox/Projects/lbh_song_amplitude/data/raw/cuts/0.TR2.2013.4.16.07.03.(1)-C12_audio.mp3	36	Spectrogram 1	1	3529.4	11470.6	0.TR2.2013.4.16.07.03.(1)-C12_audio.mp3	Before_interaction	NA	0.TR2.2013.4.16.07.03.(1)-C12_audio.Table.1.selections.txt	0	2013	mp3	0.TR2.2013.4.16.07.03.(1)-C12_audio.mp3	0.TR2.2013.4.16.07.03.(1)-C12_audio.mp3	6
89.76433635	89.903906893	0.TR2.2013.4.16.07.03.(1)-C12_audio.mp3	4.68433635	/home/m/Dropbox/Projects/lbh_song_amplitude/data/raw/cuts/0.TR2.2013.4.16.07.03.(1)-C12_audio.mp3	37	Spectrogram 1	1	2294.1	12176.5	0.TR2.2013.4.16.07.03.(1)-C12_audio.mp3	Before_interaction	NA	0.TR2.2013.4.16.07.03.(1)-C12_audio.Table.1.selections.txt	0	2013	mp3	0.TR2.2013.4.16.07.03.(1)-C12_audio.mp3	0.TR2.2013.4.16.07.03.(1)-C12_audio.mp3	7
