"sound.files","label","spl","sd"
"calibration_LM_A1A",0,34.7011982065659,1.98047591318606
"calibration_LM_A3C",0,34.7054062375269,2.25916886215742
"calibration_LM_A41A",0,43.7783210795901,4.69475941736324
"calibration_LM_A56",0,32.7572196277048,2.76000957410744
"calibration_LM_A61",0,34.4902298721729,2.4183993016798
"calibration_LM_AAE",0,36.0782531375598,1.94953965662075
"calibration_LM_ABB",0,36.8065483823152,3.98891692054304
"calibration_LM_AC8",0,34.8265093591702,2.64659015687461
"calibration_LM_AED",0,45.481888758222,4.5752984418918
"calibration_M_A1A",0,40.4413586041285,2.51224107763452
"calibration_M_A3C",0,39.4281768326132,4.38486796427199
"calibration_M_A41A",0,38.2570883722312,3.36484266144399
"calibration_M_A61",0,43.4433998053765,2.16927956939051
"calibration_M_AAE",0,39.1645027186875,2.57038822394249
"calibration_M_AC8",0,41.1797816700239,2.3317859192689
"calibration_LM_A1A",0.001,35.0769364146498,1.74761241054063
"calibration_LM_A3C",0.001,36.465202103827,7.80403231489092
"calibration_LM_A41A",0.001,43.5104067347977,5.79091835337098
"calibration_LM_A56",0.001,33.4417845894938,1.86410096921998
"calibration_LM_A61",0.001,34.8440450985985,1.77138264448634
"calibration_LM_AAE",0.001,36.0211980706054,1.88929283569694
"calibration_LM_ABB",0.001,36.6030576418154,4.89475054940555
"calibration_LM_AC8",0.001,34.9776432560173,1.90210363238314
"calibration_LM_AED",0.001,45.2436237807814,5.56667436684499
"calibration_M_A1A",0.001,41.2894211164199,4.5120734537381
"calibration_M_A3C",0.001,39.1980591172074,2.34491041137
"calibration_M_A41A",0.001,38.2368327164767,2.54635744911265
"calibration_M_A61",0.001,44.1146245762266,4.02027035833472
"calibration_M_AAE",0.001,40.3478434895149,4.88133317856586
"calibration_M_AC8",0.001,43.0403904392279,7.48103294569098
"calibration_LM_A1A",0.0032,37.6214272729626,0.976477133401766
"calibration_LM_A3C",0.0032,38.0858177054627,1.2198238120637
"calibration_LM_A41A",0.0032,42.7584462378727,4.59467252219987
"calibration_LM_A56",0.0032,36.3612497162078,0.667646965932527
"calibration_LM_A61",0.0032,36.0980938765901,0.97980160802858
"calibration_LM_AAE",0.0032,39.2685081378504,16.2858114504204
"calibration_LM_ABB",0.0032,36.1323407713883,3.56719443911819
"calibration_LM_AC8",0.0032,36.2870027186957,1.48216865585215
"calibration_LM_AED",0.0032,44.7499590520031,4.14517956180503
"calibration_M_A1A",0.0032,44.6088963400608,5.38579636941519
"calibration_M_A3C",0.0032,39.9657735750287,2.14945275554818
"calibration_M_A41A",0.0032,38.4322461696693,2.71030180032959
"calibration_M_A61",0.0032,46.6527174169217,5.73258964024841
"calibration_M_AAE",0.0032,42.7751060866259,2.31230961254616
"calibration_M_AC8",0.0032,45.3739653846365,0.918947482229939
"calibration_LM_A1A",0.01,45.0333152407862,0.376902351185075
"calibration_LM_A3C",0.01,46.0420942396346,0.483024880036713
"calibration_LM_A41A",0.01,41.8483742439391,4.43313080632083
"calibration_LM_A56",0.01,44.4798699118485,1.45682189244718
"calibration_LM_A61",0.01,42.5204468792274,2.63643372747539
"calibration_LM_AAE",0.01,36.6499763577193,2.19017183113201
"calibration_LM_ABB",0.01,36.5285094453559,2.61905964113244
