"sound.files","selec","start","end","bottom.freq","top.freq","orig.sound.file","label"
"calibration_sound_for_audiomoths_and_soundmeter.wav",1,0,0.9975,1.75,4.25,"start_marker","start_marker"
"calibration_sound_for_audiomoths_and_soundmeter.wav",2,1.9975,6.9975,6.25,6.75,"tones_for_amplitude_test_soundmeter.wav-song_tones_for_amplitude_test_soundmeter.wav","1"
"calibration_sound_for_audiomoths_and_soundmeter.wav",3,7.9975,12.9975,6.25,6.75,"tones_for_amplitude_test_soundmeter.wav-song_tones_for_amplitude_test_soundmeter.wav","0.3162"
"calibration_sound_for_audiomoths_and_soundmeter.wav",4,13.9975,18.9975,6.25,6.75,"tones_for_amplitude_test_soundmeter.wav-song_tones_for_amplitude_test_soundmeter.wav","0.1"
"calibration_sound_for_audiomoths_and_soundmeter.wav",5,19.9975,24.9975,6.25,6.75,"tones_for_amplitude_test_soundmeter.wav-song_tones_for_amplitude_test_soundmeter.wav","0.0316"
"calibration_sound_for_audiomoths_and_soundmeter.wav",6,25.9975,30.9975,6.25,6.75,"tones_for_amplitude_test_soundmeter.wav-song_tones_for_amplitude_test_soundmeter.wav","0.01"
"calibration_sound_for_audiomoths_and_soundmeter.wav",7,31.9975,36.9975,6.25,6.75,"tones_for_amplitude_test_soundmeter.wav-song_tones_for_amplitude_test_soundmeter.wav","0.0032"
"calibration_sound_for_audiomoths_and_soundmeter.wav",8,37.9975,42.9975,6.25,6.75,"tones_for_amplitude_test_soundmeter.wav-song_tones_for_amplitude_test_soundmeter.wav","0.001"
"calibration_sound_for_audiomoths_and_soundmeter.wav",9,43.9975,48.9975,6.25,6.75,"tones_for_amplitude_test_soundmeter.wav-song_tones_for_amplitude_test_soundmeter.wav","3e-04"
"calibration_sound_for_audiomoths_and_soundmeter.wav",10,49.9975,54.9975,6.25,6.75,"tones_for_amplitude_test_soundmeter.wav-song_tones_for_amplitude_test_soundmeter.wav","1e-04"
"calibration_sound_for_audiomoths_and_soundmeter.wav",11,55.9975,60.9975,6.25,6.75,"tones_for_amplitude_test_soundmeter.wav-song_tones_for_amplitude_test_soundmeter.wav","0"
"calibration_sound_for_audiomoths_and_soundmeter.wav",12,61.9975,66.9975,6.25,6.75,"tones_for_amplitude_test_soundmeter.wav-song_tones_for_amplitude_test_soundmeter.wav","1"
"calibration_sound_for_audiomoths_and_soundmeter.wav",13,67.9975,72.9975,6.25,6.75,"tones_for_amplitude_test_soundmeter.wav-song_tones_for_amplitude_test_soundmeter.wav","0.3162"
"calibration_sound_for_audiomoths_and_soundmeter.wav",14,73.9975,78.9975,6.25,6.75,"tones_for_amplitude_test_soundmeter.wav-song_tones_for_amplitude_test_soundmeter.wav","0.1"
"calibration_sound_for_audiomoths_and_soundmeter.wav",15,79.9975,84.9975,6.25,6.75,"tones_for_amplitude_test_soundmeter.wav-song_tones_for_amplitude_test_soundmeter.wav","0.0316"
"calibration_sound_for_audiomoths_and_soundmeter.wav",16,85.9975,90.9975,6.25,6.75,"tones_for_amplitude_test_soundmeter.wav-song_tones_for_amplitude_test_soundmeter.wav","0.01"
"calibration_sound_for_audiomoths_and_soundmeter.wav",17,91.9975,96.9975,6.25,6.75,"tones_for_amplitude_test_soundmeter.wav-song_tones_for_amplitude_test_soundmeter.wav","0.0032"
"calibration_sound_for_audiomoths_and_soundmeter.wav",18,97.9975,102.9975,6.25,6.75,"tones_for_amplitude_test_soundmeter.wav-song_tones_for_amplitude_test_soundmeter.wav","0.001"
"calibration_sound_for_audiomoths_and_soundmeter.wav",19,103.9975,108.9975,6.25,6.75,"tones_for_amplitude_test_soundmeter.wav-song_tones_for_amplitude_test_soundmeter.wav","3e-04"
"calibration_sound_for_audiomoths_and_soundmeter.wav",20,109.9975,114.9975,6.25,6.75,"tones_for_amplitude_test_soundmeter.wav-song_tones_for_amplitude_test_soundmeter.wav","1e-04"
"calibration_sound_for_audiomoths_and_soundmeter.wav",21,115.9975,120.9975,6.25,6.75,"tones_for_amplitude_test_soundmeter.wav-song_tones_for_amplitude_test_soundmeter.wav","0"
"calibration_sound_for_audiomoths_and_soundmeter.wav",22,121.9975,126.9975,6.25,6.75,"tones_for_amplitude_test_soundmeter.wav-song_tones_for_amplitude_test_soundmeter.wav","1"
"calibration_sound_for_audiomoths_and_soundmeter.wav",23,127.9975,132.9975,6.25,6.75,"tones_for_amplitude_test_soundmeter.wav-song_tones_for_amplitude_test_soundmeter.wav","0.3162"
"calibration_sound_for_audiomoths_and_soundmeter.wav",24,133.9975,138.9975,6.25,6.75,"tones_for_amplitude_test_soundmeter.wav-song_tones_for_amplitude_test_soundmeter.wav","0.1"
"calibration_sound_for_audiomoths_and_soundmeter.wav",25,139.9975,144.9975,6.25,6.75,"tones_for_amplitude_test_soundmeter.wav-song_tones_for_amplitude_test_soundmeter.wav","0.0316"
"calibration_sound_for_audiomoths_and_soundmeter.wav",26,145.9975,150.9975,6.25,6.75,"tones_for_amplitude_test_soundmeter.wav-song_tones_for_amplitude_test_soundmeter.wav","0.01"
"calibration_sound_for_audiomoths_and_soundmeter.wav",27,151.9975,156.9975,6.25,6.75,"tones_for_amplitude_test_soundmeter.wav-song_tones_for_amplitude_test_soundmeter.wav","0.0032"
