Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin Path	Begin File	Treatment
1	Waveform 1	1	0.909208527	1.083219728	1764.7	12176.5	D:\LBH_display_videos\B&A_interactions\108.LOC.2013.4.10.07.16.(1)-C2_audio.mp3	108.LOC.2013.4.10.07.16.(1)-C2_audio.mp3	Before_interaction
1	Spectrogram 1	1	0.909208527	1.083219728	1764.7	12176.5	D:\LBH_display_videos\B&A_interactions\108.LOC.2013.4.10.07.16.(1)-C2_audio.mp3	108.LOC.2013.4.10.07.16.(1)-C2_audio.mp3	Before_interaction
2	Waveform 1	1	1.805366214	1.935874615	2470.6	10588.2	D:\LBH_display_videos\B&A_interactions\108.LOC.2013.4.10.07.16.(1)-C2_audio.mp3	108.LOC.2013.4.10.07.16.(1)-C2_audio.mp3	Before_interaction
2	Spectrogram 1	1	1.805366214	1.935874615	2470.6	10588.2	D:\LBH_display_videos\B&A_interactions\108.LOC.2013.4.10.07.16.(1)-C2_audio.mp3	108.LOC.2013.4.10.07.16.(1)-C2_audio.mp3	Before_interaction
3	Waveform 1	1	2.575365780	2.714574741	2647.1	12882.4	D:\LBH_display_videos\B&A_interactions\108.LOC.2013.4.10.07.16.(1)-C2_audio.mp3	108.LOC.2013.4.10.07.16.(1)-C2_audio.mp3	Before_interaction
3	Spectrogram 1	1	2.575365780	2.714574741	2647.1	12882.4	D:\LBH_display_videos\B&A_interactions\108.LOC.2013.4.10.07.16.(1)-C2_audio.mp3	108.LOC.2013.4.10.07.16.(1)-C2_audio.mp3	Before_interaction
4	Waveform 1	1	3.401918986	3.549828508	2823.5	13235.3	D:\LBH_display_videos\B&A_interactions\108.LOC.2013.4.10.07.16.(1)-C2_audio.mp3	108.LOC.2013.4.10.07.16.(1)-C2_audio.mp3	Before_interaction
4	Spectrogram 1	1	3.401918986	3.549828508	2823.5	13235.3	D:\LBH_display_videos\B&A_interactions\108.LOC.2013.4.10.07.16.(1)-C2_audio.mp3	108.LOC.2013.4.10.07.16.(1)-C2_audio.mp3	Before_interaction
5	Waveform 1	1	3.993557071	4.154517432	2117.6	12882.4	D:\LBH_display_videos\B&A_interactions\108.LOC.2013.4.10.07.16.(1)-C2_audio.mp3	108.LOC.2013.4.10.07.16.(1)-C2_audio.mp3	Before_interaction
5	Spectrogram 1	1	3.993557071	4.154517432	2117.6	12882.4	D:\LBH_display_videos\B&A_interactions\108.LOC.2013.4.10.07.16.(1)-C2_audio.mp3	108.LOC.2013.4.10.07.16.(1)-C2_audio.mp3	Before_interaction
