Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin Path	Begin File	Treatment
1	Waveform 1	1	0.572947699	0.666637260	2470.6	9352.9	D:\LBH_display_videos\B&A_interactions\54.SUR.2013.3.24.07.34.(1)-C3_audio.mp3	54.SUR.2013.3.24.07.34.(1)-C3_audio.mp3	Before_interaction
1	Spectrogram 1	1	0.572947699	0.666637260	2470.6	9352.9	D:\LBH_display_videos\B&A_interactions\54.SUR.2013.3.24.07.34.(1)-C3_audio.mp3	54.SUR.2013.3.24.07.34.(1)-C3_audio.mp3	Before_interaction
2	Waveform 1	1	1.217964291	1.329671075	2117.6	8823.5	D:\LBH_display_videos\B&A_interactions\54.SUR.2013.3.24.07.34.(1)-C3_audio.mp3	54.SUR.2013.3.24.07.34.(1)-C3_audio.mp3	Before_interaction
2	Spectrogram 1	1	1.217964291	1.329671075	2117.6	8823.5	D:\LBH_display_videos\B&A_interactions\54.SUR.2013.3.24.07.34.(1)-C3_audio.mp3	54.SUR.2013.3.24.07.34.(1)-C3_audio.mp3	Before_interaction
3	Waveform 1	1	1.711636208	1.812532658	2647.1	9000.0	D:\LBH_display_videos\B&A_interactions\54.SUR.2013.3.24.07.34.(1)-C3_audio.mp3	54.SUR.2013.3.24.07.34.(1)-C3_audio.mp3	Before_interaction
3	Spectrogram 1	1	1.711636208	1.812532658	2647.1	9000.0	D:\LBH_display_videos\B&A_interactions\54.SUR.2013.3.24.07.34.(1)-C3_audio.mp3	54.SUR.2013.3.24.07.34.(1)-C3_audio.mp3	Before_interaction
4	Waveform 1	1	2.237739127	2.335032132	2294.1	9000.0	D:\LBH_display_videos\B&A_interactions\54.SUR.2013.3.24.07.34.(1)-C3_audio.mp3	54.SUR.2013.3.24.07.34.(1)-C3_audio.mp3	Before_interaction
4	Spectrogram 1	1	2.237739127	2.335032132	2294.1	9000.0	D:\LBH_display_videos\B&A_interactions\54.SUR.2013.3.24.07.34.(1)-C3_audio.mp3	54.SUR.2013.3.24.07.34.(1)-C3_audio.mp3	Before_interaction
5	Waveform 1	1	2.749428267	2.843117828	2470.6	8647.1	D:\LBH_display_videos\B&A_interactions\54.SUR.2013.3.24.07.34.(1)-C3_audio.mp3	54.SUR.2013.3.24.07.34.(1)-C3_audio.mp3	Before_interaction
5	Spectrogram 1	1	2.749428267	2.843117828	2470.6	8647.1	D:\LBH_display_videos\B&A_interactions\54.SUR.2013.3.24.07.34.(1)-C3_audio.mp3	54.SUR.2013.3.24.07.34.(1)-C3_audio.mp3	Before_interaction
6	Waveform 1	1	16.709172810	16.792052037	2470.6	9705.9	D:\LBH_display_videos\B&A_interactions\54.SUR.2013.3.24.07.34.(1)-C3_audio.mp3	54.SUR.2013.3.24.07.34.(1)-C3_audio.mp3	After_interaction
6	Spectrogram 1	1	16.709172810	16.792052037	2470.6	9705.9	D:\LBH_display_videos\B&A_interactions\54.SUR.2013.3.24.07.34.(1)-C3_audio.mp3	54.SUR.2013.3.24.07.34.(1)-C3_audio.mp3	After_interaction
7	Waveform 1	1	17.163206836	17.267706731	2294.1	9705.9	D:\LBH_display_videos\B&A_interactions\54.SUR.2013.3.24.07.34.(1)-C3_audio.mp3	54.SUR.2013.3.24.07.34.(1)-C3_audio.mp3	After_interaction
7	Spectrogram 1	1	17.163206836	17.267706731	2294.1	9705.9	D:\LBH_display_videos\B&A_interactions\54.SUR.2013.3.24.07.34.(1)-C3_audio.mp3	54.SUR.2013.3.24.07.34.(1)-C3_audio.mp3	After_interaction
8	Waveform 1	1	17.782999316	17.883895766	2823.5	10058.8	D:\LBH_display_videos\B&A_interactions\54.SUR.2013.3.24.07.34.(1)-C3_audio.mp3	54.SUR.2013.3.24.07.34.(1)-C3_audio.mp3	After_interaction
8	Spectrogram 1	1	17.782999316	17.883895766	2823.5	10058.8	D:\LBH_display_videos\B&A_interactions\54.SUR.2013.3.24.07.34.(1)-C3_audio.mp3	54.SUR.2013.3.24.07.34.(1)-C3_audio.mp3	After_interaction
9	Waveform 1	1	18.269464343	18.381171127	2823.5	9176.5	D:\LBH_display_videos\B&A_interactions\54.SUR.2013.3.24.07.34.(1)-C3_audio.mp3	54.SUR.2013.3.24.07.34.(1)-C3_audio.mp3	After_interaction
9	Spectrogram 1	1	18.269464343	18.381171127	2823.5	9176.5	D:\LBH_display_videos\B&A_interactions\54.SUR.2013.3.24.07.34.(1)-C3_audio.mp3	54.SUR.2013.3.24.07.34.(1)-C3_audio.mp3	After_interaction
10	Waveform 1	1	18.882049929	18.968532600	2647.1	9882.4	D:\LBH_display_videos\B&A_interactions\54.SUR.2013.3.24.07.34.(1)-C3_audio.mp3	54.SUR.2013.3.24.07.34.(1)-C3_audio.mp3	After_interaction
10	Spectrogram 1	1	18.882049929	18.968532600	2647.1	9882.4	D:\LBH_display_videos\B&A_interactions\54.SUR.2013.3.24.07.34.(1)-C3_audio.mp3	54.SUR.2013.3.24.07.34.(1)-C3_audio.mp3	After_interaction
11	Waveform 1	1	19.372118401	19.469411406	2823.5	9352.9	D:\LBH_display_videos\B&A_interactions\54.SUR.2013.3.24.07.34.(1)-C3_audio.mp3	54.SUR.2013.3.24.07.34.(1)-C3_audio.mp3	After_interaction
11	Spectrogram 1	1	19.372118401	19.469411406	2823.5	9352.9	D:\LBH_display_videos\B&A_interactions\54.SUR.2013.3.24.07.34.(1)-C3_audio.mp3	54.SUR.2013.3.24.07.34.(1)-C3_audio.mp3	After_interaction
12	Waveform 1	1	20.002721214	20.081996997	2470.6	10058.8	D:\LBH_display_videos\B&A_interactions\54.SUR.2013.3.24.07.34.(1)-C3_audio.mp3	54.SUR.2013.3.24.07.34.(1)-C3_audio.mp3	After_interaction
12	Spectrogram 1	1	20.002721214	20.081996997	2470.6	10058.8	D:\LBH_display_videos\B&A_interactions\54.SUR.2013.3.24.07.34.(1)-C3_audio.mp3	54.SUR.2013.3.24.07.34.(1)-C3_audio.mp3	After_interaction
13	Waveform 1	1	20.474772463	20.557651690	3176.5	8823.5	D:\LBH_display_videos\B&A_interactions\54.SUR.2013.3.24.07.34.(1)-C3_audio.mp3	54.SUR.2013.3.24.07.34.(1)-C3_audio.mp3	After_interaction
13	Spectrogram 1	1	20.474772463	20.557651690	3176.5	8823.5	D:\LBH_display_videos\B&A_interactions\54.SUR.2013.3.24.07.34.(1)-C3_audio.mp3	54.SUR.2013.3.24.07.34.(1)-C3_audio.mp3	After_interaction
14	Waveform 1	1	21.108978721	21.191857948	2647.1	9000.0	D:\LBH_display_videos\B&A_interactions\54.SUR.2013.3.24.07.34.(1)-C3_audio.mp3	54.SUR.2013.3.24.07.34.(1)-C3_audio.mp3	After_interaction
14	Spectrogram 1	1	21.108978721	21.191857948	2647.1	9000.0	D:\LBH_display_videos\B&A_interactions\54.SUR.2013.3.24.07.34.(1)-C3_audio.mp3	54.SUR.2013.3.24.07.34.(1)-C3_audio.mp3	After_interaction
