Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin Path	Begin File	Treatment
1	Waveform 1	1	17.322052820	17.455094700	2370.9	11105.7	D:\LBH_display_videos\B&A_interactions\176.SUR.2013.3.18.07.17.(1)-C1_audio.mp3	176.SUR.2013.3.18.07.17.(1)-C1_audio.mp3	Before_interaction
1	Spectrogram 1	1	17.322052820	17.455094700	2370.9	11105.7	D:\LBH_display_videos\B&A_interactions\176.SUR.2013.3.18.07.17.(1)-C1_audio.mp3	176.SUR.2013.3.18.07.17.(1)-C1_audio.mp3	Before_interaction
2	Waveform 1	1	16.827897264	16.934330768	2870.0	9982.7	D:\LBH_display_videos\B&A_interactions\176.SUR.2013.3.18.07.17.(1)-C1_audio.mp3	176.SUR.2013.3.18.07.17.(1)-C1_audio.mp3	Before_interaction
2	Spectrogram 1	1	16.827897264	16.934330768	2870.0	9982.7	D:\LBH_display_videos\B&A_interactions\176.SUR.2013.3.18.07.17.(1)-C1_audio.mp3	176.SUR.2013.3.18.07.17.(1)-C1_audio.mp3	Before_interaction
3	Waveform 1	1	16.352747689	16.481988373	3993.1	10232.3	D:\LBH_display_videos\B&A_interactions\176.SUR.2013.3.18.07.17.(1)-C1_audio.mp3	176.SUR.2013.3.18.07.17.(1)-C1_audio.mp3	Before_interaction
3	Spectrogram 1	1	16.352747689	16.481988373	3993.1	10232.3	D:\LBH_display_videos\B&A_interactions\176.SUR.2013.3.18.07.17.(1)-C1_audio.mp3	176.SUR.2013.3.18.07.17.(1)-C1_audio.mp3	Before_interaction
4	Waveform 1	1	15.847188543	15.965025637	2745.2	9982.7	D:\LBH_display_videos\B&A_interactions\176.SUR.2013.3.18.07.17.(1)-C1_audio.mp3	176.SUR.2013.3.18.07.17.(1)-C1_audio.mp3	Before_interaction
4	Spectrogram 1	1	15.847188543	15.965025637	2745.2	9982.7	D:\LBH_display_videos\B&A_interactions\176.SUR.2013.3.18.07.17.(1)-C1_audio.mp3	176.SUR.2013.3.18.07.17.(1)-C1_audio.mp3	Before_interaction
5	Waveform 1	1	15.356834184	15.463267688	3493.9	9982.7	D:\LBH_display_videos\B&A_interactions\176.SUR.2013.3.18.07.17.(1)-C1_audio.mp3	176.SUR.2013.3.18.07.17.(1)-C1_audio.mp3	Before_interaction
5	Spectrogram 1	1	15.356834184	15.463267688	3493.9	9982.7	D:\LBH_display_videos\B&A_interactions\176.SUR.2013.3.18.07.17.(1)-C1_audio.mp3	176.SUR.2013.3.18.07.17.(1)-C1_audio.mp3	Before_interaction
