Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin File	Begin Path	File Offset (s)	Treatment	Saturation
1	Waveform 1	1	45.915321282	58.872636213	0.0	24000.0	438_SJA_12-Feb-2021_08.21_09.19_AAE.WAV	D:\Audiomoth_recordings\sound_files_2021\438_SJA_12-Feb-2021_08.21_09.19_AAE.WAV	45.915	Calibration	No
1	Spectrogram 1	1	45.915321282	58.872636213	0.0	24000.0	438_SJA_12-Feb-2021_08.21_09.19_AAE.WAV	D:\Audiomoth_recordings\sound_files_2021\438_SJA_12-Feb-2021_08.21_09.19_AAE.WAV	45.915	Calibration	No
2	Waveform 1	1	2159.554563838	2203.175170370	0.0	24000.0	438_SJA_12-Feb-2021_08.21_09.19_AAE.WAV	D:\Audiomoth_recordings\sound_files_2021\438_SJA_12-Feb-2021_08.21_09.19_AAE.WAV	2159.555	Normal	No
2	Spectrogram 1	1	2159.554563838	2203.175170370	0.0	24000.0	438_SJA_12-Feb-2021_08.21_09.19_AAE.WAV	D:\Audiomoth_recordings\sound_files_2021\438_SJA_12-Feb-2021_08.21_09.19_AAE.WAV	2159.555	Normal	No
3	Waveform 1	1	2203.907769378	2211.092547548	0.0	24000.0	438_SJA_12-Feb-2021_08.21_09.19_AAE.WAV	D:\Audiomoth_recordings\sound_files_2021\438_SJA_12-Feb-2021_08.21_09.19_AAE.WAV	2203.908	Coordination	No
3	Spectrogram 1	1	2203.907769378	2211.092547548	0.0	24000.0	438_SJA_12-Feb-2021_08.21_09.19_AAE.WAV	D:\Audiomoth_recordings\sound_files_2021\438_SJA_12-Feb-2021_08.21_09.19_AAE.WAV	2203.908	Coordination	No
4	Waveform 1	1	2212.116421649	2276.161569565	0.0	24000.0	438_SJA_12-Feb-2021_08.21_09.19_AAE.WAV	D:\Audiomoth_recordings\sound_files_2021\438_SJA_12-Feb-2021_08.21_09.19_AAE.WAV	2212.116	Normal	No
4	Spectrogram 1	1	2212.116421649	2276.161569565	0.0	24000.0	438_SJA_12-Feb-2021_08.21_09.19_AAE.WAV	D:\Audiomoth_recordings\sound_files_2021\438_SJA_12-Feb-2021_08.21_09.19_AAE.WAV	2212.116	Normal	No
5	Waveform 1	1	2282.198899950	2311.167501860	0.0	24000.0	438_SJA_12-Feb-2021_08.21_09.19_AAE.WAV	D:\Audiomoth_recordings\sound_files_2021\438_SJA_12-Feb-2021_08.21_09.19_AAE.WAV	2282.199	Coordination	No
5	Spectrogram 1	1	2282.198899950	2311.167501860	0.0	24000.0	438_SJA_12-Feb-2021_08.21_09.19_AAE.WAV	D:\Audiomoth_recordings\sound_files_2021\438_SJA_12-Feb-2021_08.21_09.19_AAE.WAV	2282.199	Coordination	No
