Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin Path	Begin File	Treatment
1	Waveform 1	1	27.059890428	27.193174035	2294.1	11470.6	D:\LBH_display_videos\B&A_interactions\124.SJA.2013.6.25.07.38.(3)-C2_audio.mp3	124.SJA.2013.6.25.07.38.(3)-C2_audio.mp3	Before_interaction
1	Spectrogram 1	1	27.059890428	27.193174035	2294.1	11470.6	D:\LBH_display_videos\B&A_interactions\124.SJA.2013.6.25.07.38.(3)-C2_audio.mp3	124.SJA.2013.6.25.07.38.(3)-C2_audio.mp3	Before_interaction
2	Waveform 1	1	27.669763903	27.794969716	1411.8	11117.6	D:\LBH_display_videos\B&A_interactions\124.SJA.2013.6.25.07.38.(3)-C2_audio.mp3	124.SJA.2013.6.25.07.38.(3)-C2_audio.mp3	Before_interaction
2	Spectrogram 1	1	27.669763903	27.794969716	1411.8	11117.6	D:\LBH_display_videos\B&A_interactions\124.SJA.2013.6.25.07.38.(3)-C2_audio.mp3	124.SJA.2013.6.25.07.38.(3)-C2_audio.mp3	Before_interaction
3	Waveform 1	1	28.182703846	28.311948556	882.4	12000.0	D:\LBH_display_videos\B&A_interactions\124.SJA.2013.6.25.07.38.(3)-C2_audio.mp3	124.SJA.2013.6.25.07.38.(3)-C2_audio.mp3	Before_interaction
3	Spectrogram 1	1	28.182703846	28.311948556	882.4	12000.0	D:\LBH_display_videos\B&A_interactions\124.SJA.2013.6.25.07.38.(3)-C2_audio.mp3	124.SJA.2013.6.25.07.38.(3)-C2_audio.mp3	Before_interaction
4	Waveform 1	1	28.804693994	28.933938704	882.4	11470.6	D:\LBH_display_videos\B&A_interactions\124.SJA.2013.6.25.07.38.(3)-C2_audio.mp3	124.SJA.2013.6.25.07.38.(3)-C2_audio.mp3	Before_interaction
4	Spectrogram 1	1	28.804693994	28.933938704	882.4	11470.6	D:\LBH_display_videos\B&A_interactions\124.SJA.2013.6.25.07.38.(3)-C2_audio.mp3	124.SJA.2013.6.25.07.38.(3)-C2_audio.mp3	Before_interaction
5	Waveform 1	1	29.378217395	29.483228722	1588.2	10764.7	D:\LBH_display_videos\B&A_interactions\124.SJA.2013.6.25.07.38.(3)-C2_audio.mp3	124.SJA.2013.6.25.07.38.(3)-C2_audio.mp3	Before_interaction
5	Spectrogram 1	1	29.378217395	29.483228722	1588.2	10764.7	D:\LBH_display_videos\B&A_interactions\124.SJA.2013.6.25.07.38.(3)-C2_audio.mp3	124.SJA.2013.6.25.07.38.(3)-C2_audio.mp3	Before_interaction
6	Waveform 1	1	29.927507412	30.052713225	1058.8	11294.1	D:\LBH_display_videos\B&A_interactions\124.SJA.2013.6.25.07.38.(3)-C2_audio.mp3	124.SJA.2013.6.25.07.38.(3)-C2_audio.mp3	Before_interaction
6	Spectrogram 1	1	29.927507412	30.052713225	1058.8	11294.1	D:\LBH_display_videos\B&A_interactions\124.SJA.2013.6.25.07.38.(3)-C2_audio.mp3	124.SJA.2013.6.25.07.38.(3)-C2_audio.mp3	Before_interaction
7	Waveform 1	1	30.472758533	30.602003243	1235.3	11470.6	D:\LBH_display_videos\B&A_interactions\124.SJA.2013.6.25.07.38.(3)-C2_audio.mp3	124.SJA.2013.6.25.07.38.(3)-C2_audio.mp3	Before_interaction
7	Spectrogram 1	1	30.472758533	30.602003243	1235.3	11470.6	D:\LBH_display_videos\B&A_interactions\124.SJA.2013.6.25.07.38.(3)-C2_audio.mp3	124.SJA.2013.6.25.07.38.(3)-C2_audio.mp3	Before_interaction
8	Waveform 1	1	31.005892962	31.123020980	1764.7	10941.2	D:\LBH_display_videos\B&A_interactions\124.SJA.2013.6.25.07.38.(3)-C2_audio.mp3	124.SJA.2013.6.25.07.38.(3)-C2_audio.mp3	Before_interaction
8	Spectrogram 1	1	31.005892962	31.123020980	1764.7	10941.2	D:\LBH_display_videos\B&A_interactions\124.SJA.2013.6.25.07.38.(3)-C2_audio.mp3	124.SJA.2013.6.25.07.38.(3)-C2_audio.mp3	Before_interaction
9	Waveform 1	1	26.526755999	26.651961812	1941.2	11470.6	D:\LBH_display_videos\B&A_interactions\124.SJA.2013.6.25.07.38.(3)-C2_audio.mp3	124.SJA.2013.6.25.07.38.(3)-C2_audio.mp3	Before_interaction
9	Spectrogram 1	1	26.526755999	26.651961812	1941.2	11470.6	D:\LBH_display_videos\B&A_interactions\124.SJA.2013.6.25.07.38.(3)-C2_audio.mp3	124.SJA.2013.6.25.07.38.(3)-C2_audio.mp3	Before_interaction
10	Waveform 1	1	25.985543776	26.122866280	2117.6	10058.8	D:\LBH_display_videos\B&A_interactions\124.SJA.2013.6.25.07.38.(3)-C2_audio.mp3	124.SJA.2013.6.25.07.38.(3)-C2_audio.mp3	Before_interaction
10	Spectrogram 1	1	25.985543776	26.122866280	2117.6	10058.8	D:\LBH_display_videos\B&A_interactions\124.SJA.2013.6.25.07.38.(3)-C2_audio.mp3	124.SJA.2013.6.25.07.38.(3)-C2_audio.mp3	Before_interaction
11	Waveform 1	1	76.905939725	77.023067744	882.4	11823.5	D:\LBH_display_videos\B&A_interactions\124.SJA.2013.6.25.07.38.(3)-C2_audio.mp3	124.SJA.2013.6.25.07.38.(3)-C2_audio.mp3	After_interaction
11	Spectrogram 1	1	76.905939725	77.023067744	882.4	11823.5	D:\LBH_display_videos\B&A_interactions\124.SJA.2013.6.25.07.38.(3)-C2_audio.mp3	124.SJA.2013.6.25.07.38.(3)-C2_audio.mp3	After_interaction
12	Waveform 1	1	77.479463126	77.604668939	1941.2	12000.0	D:\LBH_display_videos\B&A_interactions\124.SJA.2013.6.25.07.38.(3)-C2_audio.mp3	124.SJA.2013.6.25.07.38.(3)-C2_audio.mp3	After_interaction
12	Spectrogram 1	1	77.479463126	77.604668939	1941.2	12000.0	D:\LBH_display_videos\B&A_interactions\124.SJA.2013.6.25.07.38.(3)-C2_audio.mp3	124.SJA.2013.6.25.07.38.(3)-C2_audio.mp3	After_interaction
13	Waveform 1	1	78.036830938	78.157997854	882.4	12529.4	D:\LBH_display_videos\B&A_interactions\124.SJA.2013.6.25.07.38.(3)-C2_audio.mp3	124.SJA.2013.6.25.07.38.(3)-C2_audio.mp3	After_interaction
