Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin Path	Begin File	Treatment
1	Waveform 1	1	0.271039446	0.437581757	2000.0	10097.6	D:\LBH_display_videos\B&A_interactions\0.HC1.2013.6.5.07.12.(1)-C1_audio.mp3	0.HC1.2013.6.5.07.12.(1)-C1_audio.mp3	Before_interaction
1	Spectrogram 1	1	0.271039446	0.437581757	2000.0	10097.6	D:\LBH_display_videos\B&A_interactions\0.HC1.2013.6.5.07.12.(1)-C1_audio.mp3	0.HC1.2013.6.5.07.12.(1)-C1_audio.mp3	Before_interaction
2	Waveform 1	1	0.865366907	1.005784933	2195.1	10390.2	D:\LBH_display_videos\B&A_interactions\0.HC1.2013.6.5.07.12.(1)-C1_audio.mp3	0.HC1.2013.6.5.07.12.(1)-C1_audio.mp3	Before_interaction
2	Spectrogram 1	1	0.865366907	1.005784933	2195.1	10390.2	D:\LBH_display_videos\B&A_interactions\0.HC1.2013.6.5.07.12.(1)-C1_audio.mp3	0.HC1.2013.6.5.07.12.(1)-C1_audio.mp3	Before_interaction
3	Waveform 1	1	1.485818651	1.632767749	2195.1	10536.6	D:\LBH_display_videos\B&A_interactions\0.HC1.2013.6.5.07.12.(1)-C1_audio.mp3	0.HC1.2013.6.5.07.12.(1)-C1_audio.mp3	Before_interaction
3	Spectrogram 1	1	1.485818651	1.632767749	2195.1	10536.6	D:\LBH_display_videos\B&A_interactions\0.HC1.2013.6.5.07.12.(1)-C1_audio.mp3	0.HC1.2013.6.5.07.12.(1)-C1_audio.mp3	Before_interaction
4	Waveform 1	1	2.142191286	2.295671454	2780.5	10829.3	D:\LBH_display_videos\B&A_interactions\0.HC1.2013.6.5.07.12.(1)-C1_audio.mp3	0.HC1.2013.6.5.07.12.(1)-C1_audio.mp3	Before_interaction
4	Spectrogram 1	1	2.142191286	2.295671454	2780.5	10829.3	D:\LBH_display_videos\B&A_interactions\0.HC1.2013.6.5.07.12.(1)-C1_audio.mp3	0.HC1.2013.6.5.07.12.(1)-C1_audio.mp3	Before_interaction
5	Waveform 1	1	36.171650375	36.341458221	4415.8	11342.6	D:\LBH_display_videos\B&A_interactions\0.HC1.2013.6.5.07.12.(1)-C1_audio.mp3	0.HC1.2013.6.5.07.12.(1)-C1_audio.mp3	After_interaction
5	Spectrogram 1	1	36.171650375	36.341458221	4415.8	11342.6	D:\LBH_display_videos\B&A_interactions\0.HC1.2013.6.5.07.12.(1)-C1_audio.mp3	0.HC1.2013.6.5.07.12.(1)-C1_audio.mp3	After_interaction
6	Waveform 1	1	36.736588016	36.890068184	3636.5	11082.8	D:\LBH_display_videos\B&A_interactions\0.HC1.2013.6.5.07.12.(1)-C1_audio.mp3	0.HC1.2013.6.5.07.12.(1)-C1_audio.mp3	After_interaction
6	Spectrogram 1	1	36.736588016	36.890068184	3636.5	11082.8	D:\LBH_display_videos\B&A_interactions\0.HC1.2013.6.5.07.12.(1)-C1_audio.mp3	0.HC1.2013.6.5.07.12.(1)-C1_audio.mp3	After_interaction
7	Waveform 1	1	37.265604767	37.422350470	3982.9	11342.6	D:\LBH_display_videos\B&A_interactions\0.HC1.2013.6.5.07.12.(1)-C1_audio.mp3	0.HC1.2013.6.5.07.12.(1)-C1_audio.mp3	After_interaction
7	Spectrogram 1	1	37.265604767	37.422350470	3982.9	11342.6	D:\LBH_display_videos\B&A_interactions\0.HC1.2013.6.5.07.12.(1)-C1_audio.mp3	0.HC1.2013.6.5.07.12.(1)-C1_audio.mp3	After_interaction
8	Waveform 1	1	37.761966162	37.905649724	5021.9	11688.9	D:\LBH_display_videos\B&A_interactions\0.HC1.2013.6.5.07.12.(1)-C1_audio.mp3	0.HC1.2013.6.5.07.12.(1)-C1_audio.mp3	After_interaction
8	Spectrogram 1	1	37.761966162	37.905649724	5021.9	11688.9	D:\LBH_display_videos\B&A_interactions\0.HC1.2013.6.5.07.12.(1)-C1_audio.mp3	0.HC1.2013.6.5.07.12.(1)-C1_audio.mp3	After_interaction
9	Waveform 1	1	38.281186306	38.434666475	4242.6	10563.3	D:\LBH_display_videos\B&A_interactions\0.HC1.2013.6.5.07.12.(1)-C1_audio.mp3	0.HC1.2013.6.5.07.12.(1)-C1_audio.mp3	After_interaction
9	Spectrogram 1	1	38.281186306	38.434666475	4242.6	10563.3	D:\LBH_display_videos\B&A_interactions\0.HC1.2013.6.5.07.12.(1)-C1_audio.mp3	0.HC1.2013.6.5.07.12.(1)-C1_audio.mp3	After_interaction
10	Waveform 1	1	38.774282166	38.914700193	4848.7	12121.8	D:\LBH_display_videos\B&A_interactions\0.HC1.2013.6.5.07.12.(1)-C1_audio.mp3	0.HC1.2013.6.5.07.12.(1)-C1_audio.mp3	After_interaction
10	Spectrogram 1	1	38.774282166	38.914700193	4848.7	12121.8	D:\LBH_display_videos\B&A_interactions\0.HC1.2013.6.5.07.12.(1)-C1_audio.mp3	0.HC1.2013.6.5.07.12.(1)-C1_audio.mp3	After_interaction
11	Waveform 1	1	39.277174630	39.414327121	4242.6	11775.5	D:\LBH_display_videos\B&A_interactions\0.HC1.2013.6.5.07.12.(1)-C1_audio.mp3	0.HC1.2013.6.5.07.12.(1)-C1_audio.mp3	After_interaction
11	Spectrogram 1	1	39.277174630	39.414327121	4242.6	11775.5	D:\LBH_display_videos\B&A_interactions\0.HC1.2013.6.5.07.12.(1)-C1_audio.mp3	0.HC1.2013.6.5.07.12.(1)-C1_audio.mp3	After_interaction
12	Waveform 1	1	39.793129239	39.946609407	3636.5	11515.7	D:\LBH_display_videos\B&A_interactions\0.HC1.2013.6.5.07.12.(1)-C1_audio.mp3	0.HC1.2013.6.5.07.12.(1)-C1_audio.mp3	After_interaction
12	Spectrogram 1	1	39.793129239	39.946609407	3636.5	11515.7	D:\LBH_display_videos\B&A_interactions\0.HC1.2013.6.5.07.12.(1)-C1_audio.mp3	0.HC1.2013.6.5.07.12.(1)-C1_audio.mp3	After_interaction
13	Waveform 1	1	40.367863486	40.527874726	3030.5	11862.1	D:\LBH_display_videos\B&A_interactions\0.HC1.2013.6.5.07.12.(1)-C1_audio.mp3	0.HC1.2013.6.5.07.12.(1)-C1_audio.mp3	After_interaction
