Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin Path	Begin File	Treatment
1	Waveform 1	1	0.294747527	0.391840830	1941.2	10235.3	D:\LBH_display_videos\B&A_interactions\179.SUR.2013.2.20.07.08.(3)-C5_audio.mp3	179.SUR.2013.2.20.07.08.(3)-C5_audio.mp3	Before_interaction
1	Spectrogram 1	1	0.294747527	0.391840830	1941.2	10235.3	D:\LBH_display_videos\B&A_interactions\179.SUR.2013.2.20.07.08.(3)-C5_audio.mp3	179.SUR.2013.2.20.07.08.(3)-C5_audio.mp3	Before_interaction
2	Waveform 1	1	0.794084513	0.918918760	1941.2	9705.9	D:\LBH_display_videos\B&A_interactions\179.SUR.2013.2.20.07.08.(3)-C5_audio.mp3	179.SUR.2013.2.20.07.08.(3)-C5_audio.mp3	Before_interaction
2	Spectrogram 1	1	0.794084513	0.918918760	1941.2	9705.9	D:\LBH_display_videos\B&A_interactions\179.SUR.2013.2.20.07.08.(3)-C5_audio.mp3	179.SUR.2013.2.20.07.08.(3)-C5_audio.mp3	Before_interaction
3	Waveform 1	1	1.400917656	1.494543341	1764.7	10411.8	D:\LBH_display_videos\B&A_interactions\179.SUR.2013.2.20.07.08.(3)-C5_audio.mp3	179.SUR.2013.2.20.07.08.(3)-C5_audio.mp3	Before_interaction
3	Spectrogram 1	1	1.400917656	1.494543341	1764.7	10411.8	D:\LBH_display_videos\B&A_interactions\179.SUR.2013.2.20.07.08.(3)-C5_audio.mp3	179.SUR.2013.2.20.07.08.(3)-C5_audio.mp3	Before_interaction
4	Waveform 1	1	2.038959361	2.167261226	1235.3	11294.1	D:\LBH_display_videos\B&A_interactions\179.SUR.2013.2.20.07.08.(3)-C5_audio.mp3	179.SUR.2013.2.20.07.08.(3)-C5_audio.mp3	Before_interaction
4	Spectrogram 1	1	2.038959361	2.167261226	1235.3	11294.1	D:\LBH_display_videos\B&A_interactions\179.SUR.2013.2.20.07.08.(3)-C5_audio.mp3	179.SUR.2013.2.20.07.08.(3)-C5_audio.mp3	Before_interaction
5	Waveform 1	1	2.604181089	2.708209628	1764.7	11294.1	D:\LBH_display_videos\B&A_interactions\179.SUR.2013.2.20.07.08.(3)-C5_audio.mp3	179.SUR.2013.2.20.07.08.(3)-C5_audio.mp3	Before_interaction
5	Spectrogram 1	1	2.604181089	2.708209628	1764.7	11294.1	D:\LBH_display_videos\B&A_interactions\179.SUR.2013.2.20.07.08.(3)-C5_audio.mp3	179.SUR.2013.2.20.07.08.(3)-C5_audio.mp3	Before_interaction
6	Waveform 1	1	3.096582840	3.214481850	2117.6	10941.2	D:\LBH_display_videos\B&A_interactions\179.SUR.2013.2.20.07.08.(3)-C5_audio.mp3	179.SUR.2013.2.20.07.08.(3)-C5_audio.mp3	Before_interaction
6	Spectrogram 1	1	3.096582840	3.214481850	2117.6	10941.2	D:\LBH_display_videos\B&A_interactions\179.SUR.2013.2.20.07.08.(3)-C5_audio.mp3	179.SUR.2013.2.20.07.08.(3)-C5_audio.mp3	Before_interaction
7	Waveform 1	1	3.828250231	3.963487331	2294.1	11294.1	D:\LBH_display_videos\B&A_interactions\179.SUR.2013.2.20.07.08.(3)-C5_audio.mp3	179.SUR.2013.2.20.07.08.(3)-C5_audio.mp3	Before_interaction
7	Spectrogram 1	1	3.828250231	3.963487331	2294.1	11294.1	D:\LBH_display_videos\B&A_interactions\179.SUR.2013.2.20.07.08.(3)-C5_audio.mp3	179.SUR.2013.2.20.07.08.(3)-C5_audio.mp3	Before_interaction
8	Waveform 1	1	4.331054835	4.462824318	2117.6	11117.6	D:\LBH_display_videos\B&A_interactions\179.SUR.2013.2.20.07.08.(3)-C5_audio.mp3	179.SUR.2013.2.20.07.08.(3)-C5_audio.mp3	Before_interaction
8	Spectrogram 1	1	4.331054835	4.462824318	2117.6	11117.6	D:\LBH_display_videos\B&A_interactions\179.SUR.2013.2.20.07.08.(3)-C5_audio.mp3	179.SUR.2013.2.20.07.08.(3)-C5_audio.mp3	Before_interaction
