Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin Path	Begin File	Treatment
1	Waveform 1	1	0.332971491	0.493174756	2647.1	10588.2	D:\LBH_display_videos\B&A_interactions\0.TR2.2014.4.4.8.10.MOV-C7_audio.mp3	0.TR2.2014.4.4.8.10.MOV-C7_audio.mp3	Before_interaction
1	Spectrogram 1	1	0.332971491	0.493174756	2647.1	10588.2	D:\LBH_display_videos\B&A_interactions\0.TR2.2014.4.4.8.10.MOV-C7_audio.mp3	0.TR2.2014.4.4.8.10.MOV-C7_audio.mp3	Before_interaction
2	Waveform 1	1	0.879547336	1.042891841	2470.6	10941.2	D:\LBH_display_videos\B&A_interactions\0.TR2.2014.4.4.8.10.MOV-C7_audio.mp3	0.TR2.2014.4.4.8.10.MOV-C7_audio.mp3	Before_interaction
2	Spectrogram 1	1	0.879547336	1.042891841	2470.6	10941.2	D:\LBH_display_videos\B&A_interactions\0.TR2.2014.4.4.8.10.MOV-C7_audio.mp3	0.TR2.2014.4.4.8.10.MOV-C7_audio.mp3	Before_interaction
3	Waveform 1	1	1.463818066	1.617738850	2470.6	10764.7	D:\LBH_display_videos\B&A_interactions\0.TR2.2014.4.4.8.10.MOV-C7_audio.mp3	0.TR2.2014.4.4.8.10.MOV-C7_audio.mp3	Before_interaction
3	Spectrogram 1	1	1.463818066	1.617738850	2470.6	10764.7	D:\LBH_display_videos\B&A_interactions\0.TR2.2014.4.4.8.10.MOV-C7_audio.mp3	0.TR2.2014.4.4.8.10.MOV-C7_audio.mp3	Before_interaction
4	Waveform 1	1	1.960134063	2.117196087	2823.5	10058.8	D:\LBH_display_videos\B&A_interactions\0.TR2.2014.4.4.8.10.MOV-C7_audio.mp3	0.TR2.2014.4.4.8.10.MOV-C7_audio.mp3	Before_interaction
4	Spectrogram 1	1	1.960134063	2.117196087	2823.5	10058.8	D:\LBH_display_videos\B&A_interactions\0.TR2.2014.4.4.8.10.MOV-C7_audio.mp3	0.TR2.2014.4.4.8.10.MOV-C7_audio.mp3	Before_interaction
5	Waveform 1	1	2.550687274	2.723455501	3529.4	11294.1	D:\LBH_display_videos\B&A_interactions\0.TR2.2014.4.4.8.10.MOV-C7_audio.mp3	0.TR2.2014.4.4.8.10.MOV-C7_audio.mp3	Before_interaction
5	Spectrogram 1	1	2.550687274	2.723455501	3529.4	11294.1	D:\LBH_display_videos\B&A_interactions\0.TR2.2014.4.4.8.10.MOV-C7_audio.mp3	0.TR2.2014.4.4.8.10.MOV-C7_audio.mp3	Before_interaction
6	Waveform 1	1	3.075274436	3.235477701	2647.1	9882.4	D:\LBH_display_videos\B&A_interactions\0.TR2.2014.4.4.8.10.MOV-C7_audio.mp3	0.TR2.2014.4.4.8.10.MOV-C7_audio.mp3	Before_interaction
6	Spectrogram 1	1	3.075274436	3.235477701	2647.1	9882.4	D:\LBH_display_videos\B&A_interactions\0.TR2.2014.4.4.8.10.MOV-C7_audio.mp3	0.TR2.2014.4.4.8.10.MOV-C7_audio.mp3	Before_interaction
7	Waveform 1	1	3.634415242	3.788336026	2470.6	10058.8	D:\LBH_display_videos\B&A_interactions\0.TR2.2014.4.4.8.10.MOV-C7_audio.mp3	0.TR2.2014.4.4.8.10.MOV-C7_audio.mp3	Before_interaction
7	Spectrogram 1	1	3.634415242	3.788336026	2470.6	10058.8	D:\LBH_display_videos\B&A_interactions\0.TR2.2014.4.4.8.10.MOV-C7_audio.mp3	0.TR2.2014.4.4.8.10.MOV-C7_audio.mp3	Before_interaction
8	Waveform 1	1	20.088232910	20.210741289	3529.4	11823.5	D:\LBH_display_videos\B&A_interactions\0.TR2.2014.4.4.8.10.MOV-C7_audio.mp3	0.TR2.2014.4.4.8.10.MOV-C7_audio.mp3	After_interaction
8	Spectrogram 1	1	20.088232910	20.210741289	3529.4	11823.5	D:\LBH_display_videos\B&A_interactions\0.TR2.2014.4.4.8.10.MOV-C7_audio.mp3	0.TR2.2014.4.4.8.10.MOV-C7_audio.mp3	After_interaction
9	Waveform 1	1	20.631667514	20.788729538	3176.5	12176.5	D:\LBH_display_videos\B&A_interactions\0.TR2.2014.4.4.8.10.MOV-C7_audio.mp3	0.TR2.2014.4.4.8.10.MOV-C7_audio.mp3	After_interaction
9	Spectrogram 1	1	20.631667514	20.788729538	3176.5	12176.5	D:\LBH_display_videos\B&A_interactions\0.TR2.2014.4.4.8.10.MOV-C7_audio.mp3	0.TR2.2014.4.4.8.10.MOV-C7_audio.mp3	After_interaction
10	Waveform 1	1	21.215938244	21.357294066	2823.5	11294.1	D:\LBH_display_videos\B&A_interactions\0.TR2.2014.4.4.8.10.MOV-C7_audio.mp3	0.TR2.2014.4.4.8.10.MOV-C7_audio.mp3	After_interaction
10	Spectrogram 1	1	21.215938244	21.357294066	2823.5	11294.1	D:\LBH_display_videos\B&A_interactions\0.TR2.2014.4.4.8.10.MOV-C7_audio.mp3	0.TR2.2014.4.4.8.10.MOV-C7_audio.mp3	After_interaction
11	Waveform 1	1	21.693406799	21.831621380	2647.1	11117.6	D:\LBH_display_videos\B&A_interactions\0.TR2.2014.4.4.8.10.MOV-C7_audio.mp3	0.TR2.2014.4.4.8.10.MOV-C7_audio.mp3	After_interaction
11	Spectrogram 1	1	21.693406799	21.831621380	2647.1	11117.6	D:\LBH_display_videos\B&A_interactions\0.TR2.2014.4.4.8.10.MOV-C7_audio.mp3	0.TR2.2014.4.4.8.10.MOV-C7_audio.mp3	After_interaction
12	Waveform 1	1	22.174016593	22.321654896	2117.6	11647.1	D:\LBH_display_videos\B&A_interactions\0.TR2.2014.4.4.8.10.MOV-C7_audio.mp3	0.TR2.2014.4.4.8.10.MOV-C7_audio.mp3	After_interaction
12	Spectrogram 1	1	22.174016593	22.321654896	2117.6	11647.1	D:\LBH_display_videos\B&A_interactions\0.TR2.2014.4.4.8.10.MOV-C7_audio.mp3	0.TR2.2014.4.4.8.10.MOV-C7_audio.mp3	After_interaction
13	Waveform 1	1	22.814829652	22.968750436	2117.6	11823.5	D:\LBH_display_videos\B&A_interactions\0.TR2.2014.4.4.8.10.MOV-C7_audio.mp3	0.TR2.2014.4.4.8.10.MOV-C7_audio.mp3	After_interaction
13	Spectrogram 1	1	22.814829652	22.968750436	2117.6	11823.5	D:\LBH_display_videos\B&A_interactions\0.TR2.2014.4.4.8.10.MOV-C7_audio.mp3	0.TR2.2014.4.4.8.10.MOV-C7_audio.mp3	After_interaction
14	Waveform 1	1	23.273450763	23.424230306	1941.2	12000.0	D:\LBH_display_videos\B&A_interactions\0.TR2.2014.4.4.8.10.MOV-C7_audio.mp3	0.TR2.2014.4.4.8.10.MOV-C7_audio.mp3	After_interaction
14	Spectrogram 1	1	23.273450763	23.424230306	1941.2	12000.0	D:\LBH_display_videos\B&A_interactions\0.TR2.2014.4.4.8.10.MOV-C7_audio.mp3	0.TR2.2014.4.4.8.10.MOV-C7_audio.mp3	After_interaction
15	Waveform 1	1	23.738354355	23.889133898	1411.8	12705.9	D:\LBH_display_videos\B&A_interactions\0.TR2.2014.4.4.8.10.MOV-C7_audio.mp3	0.TR2.2014.4.4.8.10.MOV-C7_audio.mp3	After_interaction
15	Spectrogram 1	1	23.738354355	23.889133898	1411.8	12705.9	D:\LBH_display_videos\B&A_interactions\0.TR2.2014.4.4.8.10.MOV-C7_audio.mp3	0.TR2.2014.4.4.8.10.MOV-C7_audio.mp3	After_interaction
16	Waveform 1	1	24.231529111	24.382308654	1411.8	11470.6	D:\LBH_display_videos\B&A_interactions\0.TR2.2014.4.4.8.10.MOV-C7_audio.mp3	0.TR2.2014.4.4.8.10.MOV-C7_audio.mp3	After_interaction
16	Spectrogram 1	1	24.231529111	24.382308654	1411.8	11470.6	D:\LBH_display_videos\B&A_interactions\0.TR2.2014.4.4.8.10.MOV-C7_audio.mp3	0.TR2.2014.4.4.8.10.MOV-C7_audio.mp3	After_interaction
