Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin Path	Begin File	Treatment
1	Waveform 1	1	0.610703005	0.739067331	2117.6	11823.5	D:\LBH_display_videos\B&A_interactions\36.SUR.2013.3.23.07.10.(3)-C2_audio.mp3	36.SUR.2013.3.23.07.10.(3)-C2_audio.mp3	Before_interaction
1	Spectrogram 1	1	0.610703005	0.739067331	2117.6	11823.5	D:\LBH_display_videos\B&A_interactions\36.SUR.2013.3.23.07.10.(3)-C2_audio.mp3	36.SUR.2013.3.23.07.10.(3)-C2_audio.mp3	Before_interaction
2	Waveform 1	1	1.361439820	1.489804146	1941.2	11470.6	D:\LBH_display_videos\B&A_interactions\36.SUR.2013.3.23.07.10.(3)-C2_audio.mp3	36.SUR.2013.3.23.07.10.(3)-C2_audio.mp3	Before_interaction
2	Spectrogram 1	1	1.361439820	1.489804146	1941.2	11470.6	D:\LBH_display_videos\B&A_interactions\36.SUR.2013.3.23.07.10.(3)-C2_audio.mp3	36.SUR.2013.3.23.07.10.(3)-C2_audio.mp3	Before_interaction
3	Waveform 1	1	2.034380073	2.147185087	2294.1	12352.9	D:\LBH_display_videos\B&A_interactions\36.SUR.2013.3.23.07.10.(3)-C2_audio.mp3	36.SUR.2013.3.23.07.10.(3)-C2_audio.mp3	Before_interaction
3	Spectrogram 1	1	2.034380073	2.147185087	2294.1	12352.9	D:\LBH_display_videos\B&A_interactions\36.SUR.2013.3.23.07.10.(3)-C2_audio.mp3	36.SUR.2013.3.23.07.10.(3)-C2_audio.mp3	Before_interaction
4	Waveform 1	1	2.470040816	2.598405142	2647.1	11294.1	D:\LBH_display_videos\B&A_interactions\36.SUR.2013.3.23.07.10.(3)-C2_audio.mp3	36.SUR.2013.3.23.07.10.(3)-C2_audio.mp3	Before_interaction
4	Spectrogram 1	1	2.470040816	2.598405142	2647.1	11294.1	D:\LBH_display_videos\B&A_interactions\36.SUR.2013.3.23.07.10.(3)-C2_audio.mp3	36.SUR.2013.3.23.07.10.(3)-C2_audio.mp3	Before_interaction
5	Waveform 1	1	2.956269323	3.072964165	2647.1	11647.1	D:\LBH_display_videos\B&A_interactions\36.SUR.2013.3.23.07.10.(3)-C2_audio.mp3	36.SUR.2013.3.23.07.10.(3)-C2_audio.mp3	Before_interaction
5	Spectrogram 1	1	2.956269323	3.072964165	2647.1	11647.1	D:\LBH_display_videos\B&A_interactions\36.SUR.2013.3.23.07.10.(3)-C2_audio.mp3	36.SUR.2013.3.23.07.10.(3)-C2_audio.mp3	Before_interaction
6	Waveform 1	1	3.601980780	3.714785794	1764.7	11294.1	D:\LBH_display_videos\B&A_interactions\36.SUR.2013.3.23.07.10.(3)-C2_audio.mp3	36.SUR.2013.3.23.07.10.(3)-C2_audio.mp3	Before_interaction
6	Spectrogram 1	1	3.601980780	3.714785794	1764.7	11294.1	D:\LBH_display_videos\B&A_interactions\36.SUR.2013.3.23.07.10.(3)-C2_audio.mp3	36.SUR.2013.3.23.07.10.(3)-C2_audio.mp3	Before_interaction
7	Waveform 1	1	10.572552624	10.708696606	1588.2	12529.4	D:\LBH_display_videos\B&A_interactions\36.SUR.2013.3.23.07.10.(3)-C2_audio.mp3	36.SUR.2013.3.23.07.10.(3)-C2_audio.mp3	After_interaction
7	Spectrogram 1	1	10.572552624	10.708696606	1588.2	12529.4	D:\LBH_display_videos\B&A_interactions\36.SUR.2013.3.23.07.10.(3)-C2_audio.mp3	36.SUR.2013.3.23.07.10.(3)-C2_audio.mp3	After_interaction
8	Waveform 1	1	11.307730127	11.436094453	2470.6	11470.6	D:\LBH_display_videos\B&A_interactions\36.SUR.2013.3.23.07.10.(3)-C2_audio.mp3	36.SUR.2013.3.23.07.10.(3)-C2_audio.mp3	After_interaction
8	Spectrogram 1	1	11.307730127	11.436094453	2470.6	11470.6	D:\LBH_display_videos\B&A_interactions\36.SUR.2013.3.23.07.10.(3)-C2_audio.mp3	36.SUR.2013.3.23.07.10.(3)-C2_audio.mp3	After_interaction
9	Waveform 1	1	11.953441584	12.066246598	2117.6	11294.1	D:\LBH_display_videos\B&A_interactions\36.SUR.2013.3.23.07.10.(3)-C2_audio.mp3	36.SUR.2013.3.23.07.10.(3)-C2_audio.mp3	After_interaction
