Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin File	Begin Path	File Offset (s)	Treatment	Saturation
1	Waveform 1	1	33.793968510	66.557590090	0.0	24000.0	400_SUR_01-Feb-2021_07.26_10.29_AAE.WAV	D:\Audiomoth_recordings\sound_files_2021\400_SUR_01-Feb-2021_07.26_10.29_AAE.WAV	33.794	Calibration	No
1	Spectrogram 1	1	33.793968510	66.557590090	0.0	24000.0	400_SUR_01-Feb-2021_07.26_10.29_AAE.WAV	D:\Audiomoth_recordings\sound_files_2021\400_SUR_01-Feb-2021_07.26_10.29_AAE.WAV	33.794	Calibration	No
2	Waveform 1	1	2280.609420176	2309.913774891	0.0	24000.0	400_SUR_01-Feb-2021_07.26_10.29_AAE.WAV	D:\Audiomoth_recordings\sound_files_2021\400_SUR_01-Feb-2021_07.26_10.29_AAE.WAV	2280.609	Normal	No
2	Spectrogram 1	1	2280.609420176	2309.913774891	0.0	24000.0	400_SUR_01-Feb-2021_07.26_10.29_AAE.WAV	D:\Audiomoth_recordings\sound_files_2021\400_SUR_01-Feb-2021_07.26_10.29_AAE.WAV	2280.609	Normal	No
3	Waveform 1	1	4234.829340299	4307.353063084	0.0	24000.0	400_SUR_01-Feb-2021_07.26_10.29_AAE.WAV	D:\Audiomoth_recordings\sound_files_2021\400_SUR_01-Feb-2021_07.26_10.29_AAE.WAV	4234.829	Normal	No
3	Spectrogram 1	1	4234.829340299	4307.353063084	0.0	24000.0	400_SUR_01-Feb-2021_07.26_10.29_AAE.WAV	D:\Audiomoth_recordings\sound_files_2021\400_SUR_01-Feb-2021_07.26_10.29_AAE.WAV	4234.829	Normal	No
4	Waveform 1	1	5235.524710062	5273.896125525	0.0	24000.0	400_SUR_01-Feb-2021_07.26_10.29_AAE.WAV	D:\Audiomoth_recordings\sound_files_2021\400_SUR_01-Feb-2021_07.26_10.29_AAE.WAV	5235.525	Normal	No
4	Spectrogram 1	1	5235.524710062	5273.896125525	0.0	24000.0	400_SUR_01-Feb-2021_07.26_10.29_AAE.WAV	D:\Audiomoth_recordings\sound_files_2021\400_SUR_01-Feb-2021_07.26_10.29_AAE.WAV	5235.525	Normal	No
5	Waveform 1	1	5647.187327811	5852.799737460	0.0	24000.0	400_SUR_01-Feb-2021_07.26_10.29_AAE.WAV	D:\Audiomoth_recordings\sound_files_2021\400_SUR_01-Feb-2021_07.26_10.29_AAE.WAV	5647.187	Normal	No
5	Spectrogram 1	1	5647.187327811	5852.799737460	0.0	24000.0	400_SUR_01-Feb-2021_07.26_10.29_AAE.WAV	D:\Audiomoth_recordings\sound_files_2021\400_SUR_01-Feb-2021_07.26_10.29_AAE.WAV	5647.187	Normal	No
