Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin Path	Begin File	Treatment
1	Waveform 1	1	0.242259495	0.351276267	1941.2	9352.9	D:\LBH_display_videos\B&A_interactions\178.SUR.2013.2.7.14.16.(6)-C3_audio.mp3	178.SUR.2013.2.7.14.16.(6)-C3_audio.mp3	Before_interaction
1	Spectrogram 1	1	0.242259495	0.351276267	1941.2	9352.9	D:\LBH_display_videos\B&A_interactions\178.SUR.2013.2.7.14.16.(6)-C3_audio.mp3	178.SUR.2013.2.7.14.16.(6)-C3_audio.mp3	Before_interaction
2	Waveform 1	1	0.660157123	0.769173896	1588.2	10588.2	D:\LBH_display_videos\B&A_interactions\178.SUR.2013.2.7.14.16.(6)-C3_audio.mp3	178.SUR.2013.2.7.14.16.(6)-C3_audio.mp3	Before_interaction
2	Spectrogram 1	1	0.660157123	0.769173896	1588.2	10588.2	D:\LBH_display_videos\B&A_interactions\178.SUR.2013.2.7.14.16.(6)-C3_audio.mp3	178.SUR.2013.2.7.14.16.(6)-C3_audio.mp3	Before_interaction
3	Waveform 1	1	1.150732600	1.274890591	2117.6	10764.7	D:\LBH_display_videos\B&A_interactions\178.SUR.2013.2.7.14.16.(6)-C3_audio.mp3	178.SUR.2013.2.7.14.16.(6)-C3_audio.mp3	Before_interaction
3	Spectrogram 1	1	1.150732600	1.274890591	2117.6	10764.7	D:\LBH_display_videos\B&A_interactions\178.SUR.2013.2.7.14.16.(6)-C3_audio.mp3	178.SUR.2013.2.7.14.16.(6)-C3_audio.mp3	Before_interaction
4	Waveform 1	1	1.629195102	1.750324849	1411.8	10941.2	D:\LBH_display_videos\B&A_interactions\178.SUR.2013.2.7.14.16.(6)-C3_audio.mp3	178.SUR.2013.2.7.14.16.(6)-C3_audio.mp3	Before_interaction
4	Spectrogram 1	1	1.629195102	1.750324849	1411.8	10941.2	D:\LBH_display_videos\B&A_interactions\178.SUR.2013.2.7.14.16.(6)-C3_audio.mp3	178.SUR.2013.2.7.14.16.(6)-C3_audio.mp3	Before_interaction
5	Waveform 1	1	2.101601116	2.228787351	2647.1	11294.1	D:\LBH_display_videos\B&A_interactions\178.SUR.2013.2.7.14.16.(6)-C3_audio.mp3	178.SUR.2013.2.7.14.16.(6)-C3_audio.mp3	Before_interaction
5	Spectrogram 1	1	2.101601116	2.228787351	2647.1	11294.1	D:\LBH_display_videos\B&A_interactions\178.SUR.2013.2.7.14.16.(6)-C3_audio.mp3	178.SUR.2013.2.7.14.16.(6)-C3_audio.mp3	Before_interaction
6	Waveform 1	1	2.870775012	2.979791784	2470.6	10764.7	D:\LBH_display_videos\B&A_interactions\178.SUR.2013.2.7.14.16.(6)-C3_audio.mp3	178.SUR.2013.2.7.14.16.(6)-C3_audio.mp3	Before_interaction
6	Spectrogram 1	1	2.870775012	2.979791784	2470.6	10764.7	D:\LBH_display_videos\B&A_interactions\178.SUR.2013.2.7.14.16.(6)-C3_audio.mp3	178.SUR.2013.2.7.14.16.(6)-C3_audio.mp3	Before_interaction
7	Waveform 1	1	9.182207717	9.302120050	2647.1	12000.0	D:\LBH_display_videos\B&A_interactions\178.SUR.2013.2.7.14.16.(6)-C3_audio.mp3	178.SUR.2013.2.7.14.16.(6)-C3_audio.mp3	After_interaction
7	Spectrogram 1	1	9.182207717	9.302120050	2647.1	12000.0	D:\LBH_display_videos\B&A_interactions\178.SUR.2013.2.7.14.16.(6)-C3_audio.mp3	178.SUR.2013.2.7.14.16.(6)-C3_audio.mp3	After_interaction
8	Waveform 1	1	9.610466046	9.721813212	2470.6	12529.4	D:\LBH_display_videos\B&A_interactions\178.SUR.2013.2.7.14.16.(6)-C3_audio.mp3	178.SUR.2013.2.7.14.16.(6)-C3_audio.mp3	After_interaction
8	Spectrogram 1	1	9.610466046	9.721813212	2470.6	12529.4	D:\LBH_display_videos\B&A_interactions\178.SUR.2013.2.7.14.16.(6)-C3_audio.mp3	178.SUR.2013.2.7.14.16.(6)-C3_audio.mp3	After_interaction
9	Waveform 1	1	10.025876625	10.154354124	1941.2	12529.4	D:\LBH_display_videos\B&A_interactions\178.SUR.2013.2.7.14.16.(6)-C3_audio.mp3	178.SUR.2013.2.7.14.16.(6)-C3_audio.mp3	After_interaction
9	Spectrogram 1	1	10.025876625	10.154354124	1941.2	12529.4	D:\LBH_display_videos\B&A_interactions\178.SUR.2013.2.7.14.16.(6)-C3_audio.mp3	178.SUR.2013.2.7.14.16.(6)-C3_audio.mp3	After_interaction
10	Waveform 1	1	10.454134954	10.574047286	2294.1	12529.4	D:\LBH_display_videos\B&A_interactions\178.SUR.2013.2.7.14.16.(6)-C3_audio.mp3	178.SUR.2013.2.7.14.16.(6)-C3_audio.mp3	After_interaction
10	Spectrogram 1	1	10.454134954	10.574047286	2294.1	12529.4	D:\LBH_display_videos\B&A_interactions\178.SUR.2013.2.7.14.16.(6)-C3_audio.mp3	178.SUR.2013.2.7.14.16.(6)-C3_audio.mp3	After_interaction
11	Waveform 1	1	10.886675866	11.015153364	705.9	12352.9	D:\LBH_display_videos\B&A_interactions\178.SUR.2013.2.7.14.16.(6)-C3_audio.mp3	178.SUR.2013.2.7.14.16.(6)-C3_audio.mp3	After_interaction
11	Spectrogram 1	1	10.886675866	11.015153364	705.9	12352.9	D:\LBH_display_videos\B&A_interactions\178.SUR.2013.2.7.14.16.(6)-C3_audio.mp3	178.SUR.2013.2.7.14.16.(6)-C3_audio.mp3	After_interaction
12	Waveform 1	1	11.306369028	11.439129110	1411.8	11823.5	D:\LBH_display_videos\B&A_interactions\178.SUR.2013.2.7.14.16.(6)-C3_audio.mp3	178.SUR.2013.2.7.14.16.(6)-C3_audio.mp3	After_interaction
12	Spectrogram 1	1	11.306369028	11.439129110	1411.8	11823.5	D:\LBH_display_videos\B&A_interactions\178.SUR.2013.2.7.14.16.(6)-C3_audio.mp3	178.SUR.2013.2.7.14.16.(6)-C3_audio.mp3	After_interaction
13	Waveform 1	1	11.747475106	11.850257105	1941.2	11647.1	D:\LBH_display_videos\B&A_interactions\178.SUR.2013.2.7.14.16.(6)-C3_audio.mp3	178.SUR.2013.2.7.14.16.(6)-C3_audio.mp3	After_interaction
13	Spectrogram 1	1	11.747475106	11.850257105	1941.2	11647.1	D:\LBH_display_videos\B&A_interactions\178.SUR.2013.2.7.14.16.(6)-C3_audio.mp3	178.SUR.2013.2.7.14.16.(6)-C3_audio.mp3	After_interaction
14	Waveform 1	1	12.175733435	12.295645767	2823.5	11647.1	D:\LBH_display_videos\B&A_interactions\178.SUR.2013.2.7.14.16.(6)-C3_audio.mp3	178.SUR.2013.2.7.14.16.(6)-C3_audio.mp3	After_interaction
14	Spectrogram 1	1	12.175733435	12.295645767	2823.5	11647.1	D:\LBH_display_videos\B&A_interactions\178.SUR.2013.2.7.14.16.(6)-C3_audio.mp3	178.SUR.2013.2.7.14.16.(6)-C3_audio.mp3	After_interaction
15	Waveform 1	1	12.612556930	12.719621513	2294.1	12529.4	D:\LBH_display_videos\B&A_interactions\178.SUR.2013.2.7.14.16.(6)-C3_audio.mp3	178.SUR.2013.2.7.14.16.(6)-C3_audio.mp3	After_interaction
15	Spectrogram 1	1	12.612556930	12.719621513	2294.1	12529.4	D:\LBH_display_videos\B&A_interactions\178.SUR.2013.2.7.14.16.(6)-C3_audio.mp3	178.SUR.2013.2.7.14.16.(6)-C3_audio.mp3	After_interaction
