Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin Path	Begin File	Treatment
1	Waveform 1	1	9.715861875	9.811740673	1764.7	12176.5	D:\LBH_display_videos\B&A_interactions\176.SUR.2013.3.22.06.58.(1)-C6_audio.mp3	176.SUR.2013.3.22.06.58.(1)-C6_audio.mp3	Before_interaction
1	Spectrogram 1	1	9.715861875	9.811740673	1764.7	12176.5	D:\LBH_display_videos\B&A_interactions\176.SUR.2013.3.22.06.58.(1)-C6_audio.mp3	176.SUR.2013.3.22.06.58.(1)-C6_audio.mp3	Before_interaction
2	Waveform 1	1	8.956501787	9.063886042	2647.1	12529.4	D:\LBH_display_videos\B&A_interactions\176.SUR.2013.3.22.06.58.(1)-C6_audio.mp3	176.SUR.2013.3.22.06.58.(1)-C6_audio.mp3	Before_interaction
2	Spectrogram 1	1	8.956501787	9.063886042	2647.1	12529.4	D:\LBH_display_videos\B&A_interactions\176.SUR.2013.3.22.06.58.(1)-C6_audio.mp3	176.SUR.2013.3.22.06.58.(1)-C6_audio.mp3	Before_interaction
3	Waveform 1	1	8.304525955	8.396569602	2647.1	12000.0	D:\LBH_display_videos\B&A_interactions\176.SUR.2013.3.22.06.58.(1)-C6_audio.mp3	176.SUR.2013.3.22.06.58.(1)-C6_audio.mp3	Before_interaction
3	Spectrogram 1	1	8.304525955	8.396569602	2647.1	12000.0	D:\LBH_display_videos\B&A_interactions\176.SUR.2013.3.22.06.58.(1)-C6_audio.mp3	176.SUR.2013.3.22.06.58.(1)-C6_audio.mp3	Before_interaction
4	Waveform 1	1	7.744593769	7.821296809	2117.6	12000.0	D:\LBH_display_videos\B&A_interactions\176.SUR.2013.3.22.06.58.(1)-C6_audio.mp3	176.SUR.2013.3.22.06.58.(1)-C6_audio.mp3	Before_interaction
4	Spectrogram 1	1	7.744593769	7.821296809	2117.6	12000.0	D:\LBH_display_videos\B&A_interactions\176.SUR.2013.3.22.06.58.(1)-C6_audio.mp3	176.SUR.2013.3.22.06.58.(1)-C6_audio.mp3	Before_interaction
5	Waveform 1	1	6.866343977	6.954552472	2117.6	10941.2	D:\LBH_display_videos\B&A_interactions\176.SUR.2013.3.22.06.58.(1)-C6_audio.mp3	176.SUR.2013.3.22.06.58.(1)-C6_audio.mp3	Before_interaction
5	Spectrogram 1	1	6.866343977	6.954552472	2117.6	10941.2	D:\LBH_display_videos\B&A_interactions\176.SUR.2013.3.22.06.58.(1)-C6_audio.mp3	176.SUR.2013.3.22.06.58.(1)-C6_audio.mp3	Before_interaction
6	Waveform 1	1	6.241214208	6.344763311	2470.6	11470.6	D:\LBH_display_videos\B&A_interactions\176.SUR.2013.3.22.06.58.(1)-C6_audio.mp3	176.SUR.2013.3.22.06.58.(1)-C6_audio.mp3	Before_interaction
6	Spectrogram 1	1	6.241214208	6.344763311	2470.6	11470.6	D:\LBH_display_videos\B&A_interactions\176.SUR.2013.3.22.06.58.(1)-C6_audio.mp3	176.SUR.2013.3.22.06.58.(1)-C6_audio.mp3	Before_interaction
7	Waveform 1	1	5.754149910	5.846193557	1588.2	10588.2	D:\LBH_display_videos\B&A_interactions\176.SUR.2013.3.22.06.58.(1)-C6_audio.mp3	176.SUR.2013.3.22.06.58.(1)-C6_audio.mp3	Before_interaction
7	Spectrogram 1	1	5.754149910	5.846193557	1588.2	10588.2	D:\LBH_display_videos\B&A_interactions\176.SUR.2013.3.22.06.58.(1)-C6_audio.mp3	176.SUR.2013.3.22.06.58.(1)-C6_audio.mp3	Before_interaction
8	Waveform 1	1	5.270920764	5.382140170	2294.1	10941.2	D:\LBH_display_videos\B&A_interactions\176.SUR.2013.3.22.06.58.(1)-C6_audio.mp3	176.SUR.2013.3.22.06.58.(1)-C6_audio.mp3	Before_interaction
8	Spectrogram 1	1	5.270920764	5.382140170	2294.1	10941.2	D:\LBH_display_videos\B&A_interactions\176.SUR.2013.3.22.06.58.(1)-C6_audio.mp3	176.SUR.2013.3.22.06.58.(1)-C6_audio.mp3	Before_interaction
9	Waveform 1	1	4.787691617	4.891240720	2647.1	10941.2	D:\LBH_display_videos\B&A_interactions\176.SUR.2013.3.22.06.58.(1)-C6_audio.mp3	176.SUR.2013.3.22.06.58.(1)-C6_audio.mp3	Before_interaction
