Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin Path	Begin File	Treatment
1	Waveform 1	1	0.634270569	0.780253477	529.4	12000.0	D:\LBH_display_videos\B&A_interactions\146.CCL.2013.2.26.14.32.(1)-C9_audio.mp3	146.CCL.2013.2.26.14.32.(1)-C9_audio.mp3	Before_interaction
1	Spectrogram 1	1	0.634270569	0.780253477	529.4	12000.0	D:\LBH_display_videos\B&A_interactions\146.CCL.2013.2.26.14.32.(1)-C9_audio.mp3	146.CCL.2013.2.26.14.32.(1)-C9_audio.mp3	Before_interaction
2	Waveform 1	1	1.306295338	1.452278246	0.0	12882.4	D:\LBH_display_videos\B&A_interactions\146.CCL.2013.2.26.14.32.(1)-C9_audio.mp3	146.CCL.2013.2.26.14.32.(1)-C9_audio.mp3	Before_interaction
2	Spectrogram 1	1	1.306295338	1.452278246	0.0	12882.4	D:\LBH_display_videos\B&A_interactions\146.CCL.2013.2.26.14.32.(1)-C9_audio.mp3	146.CCL.2013.2.26.14.32.(1)-C9_audio.mp3	Before_interaction
3	Waveform 1	1	2.006006520	2.164574162	0.0	11823.5	D:\LBH_display_videos\B&A_interactions\146.CCL.2013.2.26.14.32.(1)-C9_audio.mp3	146.CCL.2013.2.26.14.32.(1)-C9_audio.mp3	Before_interaction
3	Spectrogram 1	1	2.006006520	2.164574162	0.0	11823.5	D:\LBH_display_videos\B&A_interactions\146.CCL.2013.2.26.14.32.(1)-C9_audio.mp3	146.CCL.2013.2.26.14.32.(1)-C9_audio.mp3	Before_interaction
4	Waveform 1	1	2.680548236	2.816463358	1588.2	14117.6	D:\LBH_display_videos\B&A_interactions\146.CCL.2013.2.26.14.32.(1)-C9_audio.mp3	146.CCL.2013.2.26.14.32.(1)-C9_audio.mp3	Before_interaction
4	Spectrogram 1	1	2.680548236	2.816463358	1588.2	14117.6	D:\LBH_display_videos\B&A_interactions\146.CCL.2013.2.26.14.32.(1)-C9_audio.mp3	146.CCL.2013.2.26.14.32.(1)-C9_audio.mp3	Before_interaction
5	Waveform 1	1	3.377742472	3.521208434	1235.3	12352.9	D:\LBH_display_videos\B&A_interactions\146.CCL.2013.2.26.14.32.(1)-C9_audio.mp3	146.CCL.2013.2.26.14.32.(1)-C9_audio.mp3	Before_interaction
5	Spectrogram 1	1	3.377742472	3.521208434	1235.3	12352.9	D:\LBH_display_videos\B&A_interactions\146.CCL.2013.2.26.14.32.(1)-C9_audio.mp3	146.CCL.2013.2.26.14.32.(1)-C9_audio.mp3	Before_interaction
6	Waveform 1	1	4.102623122	4.243572137	1764.7	12352.9	D:\LBH_display_videos\B&A_interactions\146.CCL.2013.2.26.14.32.(1)-C9_audio.mp3	146.CCL.2013.2.26.14.32.(1)-C9_audio.mp3	Before_interaction
6	Spectrogram 1	1	4.102623122	4.243572137	1764.7	12352.9	D:\LBH_display_videos\B&A_interactions\146.CCL.2013.2.26.14.32.(1)-C9_audio.mp3	146.CCL.2013.2.26.14.32.(1)-C9_audio.mp3	Before_interaction
7	Waveform 1	1	4.915596907	5.059062869	2117.6	12882.4	D:\LBH_display_videos\B&A_interactions\146.CCL.2013.2.26.14.32.(1)-C9_audio.mp3	146.CCL.2013.2.26.14.32.(1)-C9_audio.mp3	Before_interaction
7	Spectrogram 1	1	4.915596907	5.059062869	2117.6	12882.4	D:\LBH_display_videos\B&A_interactions\146.CCL.2013.2.26.14.32.(1)-C9_audio.mp3	146.CCL.2013.2.26.14.32.(1)-C9_audio.mp3	Before_interaction
8	Waveform 1	1	5.622858930	5.766324891	1764.7	11647.1	D:\LBH_display_videos\B&A_interactions\146.CCL.2013.2.26.14.32.(1)-C9_audio.mp3	146.CCL.2013.2.26.14.32.(1)-C9_audio.mp3	Before_interaction
8	Spectrogram 1	1	5.622858930	5.766324891	1764.7	11647.1	D:\LBH_display_videos\B&A_interactions\146.CCL.2013.2.26.14.32.(1)-C9_audio.mp3	146.CCL.2013.2.26.14.32.(1)-C9_audio.mp3	Before_interaction
9	Waveform 1	1	6.370392100	6.511341115	1764.7	12176.5	D:\LBH_display_videos\B&A_interactions\146.CCL.2013.2.26.14.32.(1)-C9_audio.mp3	146.CCL.2013.2.26.14.32.(1)-C9_audio.mp3	Before_interaction
9	Spectrogram 1	1	6.370392100	6.511341115	1764.7	12176.5	D:\LBH_display_videos\B&A_interactions\146.CCL.2013.2.26.14.32.(1)-C9_audio.mp3	146.CCL.2013.2.26.14.32.(1)-C9_audio.mp3	Before_interaction
10	Waveform 1	1	7.223637031	7.364586047	1764.7	12176.5	D:\LBH_display_videos\B&A_interactions\146.CCL.2013.2.26.14.32.(1)-C9_audio.mp3	146.CCL.2013.2.26.14.32.(1)-C9_audio.mp3	Before_interaction
10	Spectrogram 1	1	7.223637031	7.364586047	1764.7	12176.5	D:\LBH_display_videos\B&A_interactions\146.CCL.2013.2.26.14.32.(1)-C9_audio.mp3	146.CCL.2013.2.26.14.32.(1)-C9_audio.mp3	Before_interaction
11	Waveform 1	1	14.490062146	14.643595894	2117.6	11823.5	D:\LBH_display_videos\B&A_interactions\146.CCL.2013.2.26.14.32.(1)-C9_audio.mp3	146.CCL.2013.2.26.14.32.(1)-C9_audio.mp3	After_interaction
11	Spectrogram 1	1	14.490062146	14.643595894	2117.6	11823.5	D:\LBH_display_videos\B&A_interactions\146.CCL.2013.2.26.14.32.(1)-C9_audio.mp3	146.CCL.2013.2.26.14.32.(1)-C9_audio.mp3	After_interaction
12	Waveform 1	1	15.053858206	15.199841115	1588.2	12176.5	D:\LBH_display_videos\B&A_interactions\146.CCL.2013.2.26.14.32.(1)-C9_audio.mp3	146.CCL.2013.2.26.14.32.(1)-C9_audio.mp3	After_interaction
12	Spectrogram 1	1	15.053858206	15.199841115	1588.2	12176.5	D:\LBH_display_videos\B&A_interactions\146.CCL.2013.2.26.14.32.(1)-C9_audio.mp3	146.CCL.2013.2.26.14.32.(1)-C9_audio.mp3	After_interaction
13	Waveform 1	1	15.640306777	15.783772739	2470.6	12000.0	D:\LBH_display_videos\B&A_interactions\146.CCL.2013.2.26.14.32.(1)-C9_audio.mp3	146.CCL.2013.2.26.14.32.(1)-C9_audio.mp3	After_interaction
13	Spectrogram 1	1	15.640306777	15.783772739	2470.6	12000.0	D:\LBH_display_videos\B&A_interactions\146.CCL.2013.2.26.14.32.(1)-C9_audio.mp3	146.CCL.2013.2.26.14.32.(1)-C9_audio.mp3	After_interaction
14	Waveform 1	1	16.327433226	16.473416135	2470.6	12352.9	D:\LBH_display_videos\B&A_interactions\146.CCL.2013.2.26.14.32.(1)-C9_audio.mp3	146.CCL.2013.2.26.14.32.(1)-C9_audio.mp3	After_interaction
14	Spectrogram 1	1	16.327433226	16.473416135	2470.6	12352.9	D:\LBH_display_videos\B&A_interactions\146.CCL.2013.2.26.14.32.(1)-C9_audio.mp3	146.CCL.2013.2.26.14.32.(1)-C9_audio.mp3	After_interaction
15	Waveform 1	1	17.032178302	17.173127317	1941.2	12352.9	D:\LBH_display_videos\B&A_interactions\146.CCL.2013.2.26.14.32.(1)-C9_audio.mp3	146.CCL.2013.2.26.14.32.(1)-C9_audio.mp3	After_interaction
15	Spectrogram 1	1	17.032178302	17.173127317	1941.2	12352.9	D:\LBH_display_videos\B&A_interactions\146.CCL.2013.2.26.14.32.(1)-C9_audio.mp3	146.CCL.2013.2.26.14.32.(1)-C9_audio.mp3	After_interaction
16	Waveform 1	1	17.772160633	17.915626594	2470.6	11823.5	D:\LBH_display_videos\B&A_interactions\146.CCL.2013.2.26.14.32.(1)-C9_audio.mp3	146.CCL.2013.2.26.14.32.(1)-C9_audio.mp3	After_interaction
16	Spectrogram 1	1	17.772160633	17.915626594	2470.6	11823.5	D:\LBH_display_videos\B&A_interactions\146.CCL.2013.2.26.14.32.(1)-C9_audio.mp3	146.CCL.2013.2.26.14.32.(1)-C9_audio.mp3	After_interaction
17	Waveform 1	1	18.534795483	18.670710605	1764.7	11294.1	D:\LBH_display_videos\B&A_interactions\146.CCL.2013.2.26.14.32.(1)-C9_audio.mp3	146.CCL.2013.2.26.14.32.(1)-C9_audio.mp3	After_interaction
17	Spectrogram 1	1	18.534795483	18.670710605	1764.7	11294.1	D:\LBH_display_videos\B&A_interactions\146.CCL.2013.2.26.14.32.(1)-C9_audio.mp3	146.CCL.2013.2.26.14.32.(1)-C9_audio.mp3	After_interaction
18	Waveform 1	1	19.375455681	19.523955536	1764.7	11470.6	D:\LBH_display_videos\B&A_interactions\146.CCL.2013.2.26.14.32.(1)-C9_audio.mp3	146.CCL.2013.2.26.14.32.(1)-C9_audio.mp3	After_interaction
18	Spectrogram 1	1	19.375455681	19.523955536	1764.7	11470.6	D:\LBH_display_videos\B&A_interactions\146.CCL.2013.2.26.14.32.(1)-C9_audio.mp3	146.CCL.2013.2.26.14.32.(1)-C9_audio.mp3	After_interaction
19	Waveform 1	1	20.100336331	20.238768399	2647.1	10941.2	D:\LBH_display_videos\B&A_interactions\146.CCL.2013.2.26.14.32.(1)-C9_audio.mp3	146.CCL.2013.2.26.14.32.(1)-C9_audio.mp3	After_interaction
19	Spectrogram 1	1	20.100336331	20.238768399	2647.1	10941.2	D:\LBH_display_videos\B&A_interactions\146.CCL.2013.2.26.14.32.(1)-C9_audio.mp3	146.CCL.2013.2.26.14.32.(1)-C9_audio.mp3	After_interaction
20	Waveform 1	1	20.825216981	20.951064316	2470.6	12352.9	D:\LBH_display_videos\B&A_interactions\146.CCL.2013.2.26.14.32.(1)-C9_audio.mp3	146.CCL.2013.2.26.14.32.(1)-C9_audio.mp3	After_interaction
20	Spectrogram 1	1	20.825216981	20.951064316	2470.6	12352.9	D:\LBH_display_videos\B&A_interactions\146.CCL.2013.2.26.14.32.(1)-C9_audio.mp3	146.CCL.2013.2.26.14.32.(1)-C9_audio.mp3	After_interaction
