Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin Path	Begin File	Treatment
1	Waveform 1	1	0.492858480	0.645513761	4058.8	12000.0	D:\LBH_display_videos\B&A_interactions\0.TR2.2013.4.16.07.03.(1)-C12_audio.mp3	0.TR2.2013.4.16.07.03.(1)-C12_audio.mp3	Before_interaction
1	Spectrogram 1	1	0.492858480	0.645513761	4058.8	12000.0	D:\LBH_display_videos\B&A_interactions\0.TR2.2013.4.16.07.03.(1)-C12_audio.mp3	0.TR2.2013.4.16.07.03.(1)-C12_audio.mp3	Before_interaction
2	Waveform 1	1	1.234326990	1.373897533	3176.5	11647.1	D:\LBH_display_videos\B&A_interactions\0.TR2.2013.4.16.07.03.(1)-C12_audio.mp3	0.TR2.2013.4.16.07.03.(1)-C12_audio.mp3	Before_interaction
2	Spectrogram 1	1	1.234326990	1.373897533	3176.5	11647.1	D:\LBH_display_videos\B&A_interactions\0.TR2.2013.4.16.07.03.(1)-C12_audio.mp3	0.TR2.2013.4.16.07.03.(1)-C12_audio.mp3	Before_interaction
3	Waveform 1	1	1.923456546	2.063027089	3352.9	11470.6	D:\LBH_display_videos\B&A_interactions\0.TR2.2013.4.16.07.03.(1)-C12_audio.mp3	0.TR2.2013.4.16.07.03.(1)-C12_audio.mp3	Before_interaction
3	Spectrogram 1	1	1.923456546	2.063027089	3352.9	11470.6	D:\LBH_display_videos\B&A_interactions\0.TR2.2013.4.16.07.03.(1)-C12_audio.mp3	0.TR2.2013.4.16.07.03.(1)-C12_audio.mp3	Before_interaction
4	Waveform 1	1	2.573331887	2.704179271	3529.4	10764.7	D:\LBH_display_videos\B&A_interactions\0.TR2.2013.4.16.07.03.(1)-C12_audio.mp3	0.TR2.2013.4.16.07.03.(1)-C12_audio.mp3	Before_interaction
4	Spectrogram 1	1	2.573331887	2.704179271	3529.4	10764.7	D:\LBH_display_videos\B&A_interactions\0.TR2.2013.4.16.07.03.(1)-C12_audio.mp3	0.TR2.2013.4.16.07.03.(1)-C12_audio.mp3	Before_interaction
5	Waveform 1	1	3.249376704	3.380224088	2647.1	11647.1	D:\LBH_display_videos\B&A_interactions\0.TR2.2013.4.16.07.03.(1)-C12_audio.mp3	0.TR2.2013.4.16.07.03.(1)-C12_audio.mp3	Before_interaction
5	Spectrogram 1	1	3.249376704	3.380224088	2647.1	11647.1	D:\LBH_display_videos\B&A_interactions\0.TR2.2013.4.16.07.03.(1)-C12_audio.mp3	0.TR2.2013.4.16.07.03.(1)-C12_audio.mp3	Before_interaction
6	Waveform 1	1	3.982122055	4.121692598	3529.4	11470.6	D:\LBH_display_videos\B&A_interactions\0.TR2.2013.4.16.07.03.(1)-C12_audio.mp3	0.TR2.2013.4.16.07.03.(1)-C12_audio.mp3	Before_interaction
6	Spectrogram 1	1	3.982122055	4.121692598	3529.4	11470.6	D:\LBH_display_videos\B&A_interactions\0.TR2.2013.4.16.07.03.(1)-C12_audio.mp3	0.TR2.2013.4.16.07.03.(1)-C12_audio.mp3	Before_interaction
7	Waveform 1	1	4.684336350	4.823906893	2294.1	12176.5	D:\LBH_display_videos\B&A_interactions\0.TR2.2013.4.16.07.03.(1)-C12_audio.mp3	0.TR2.2013.4.16.07.03.(1)-C12_audio.mp3	Before_interaction
7	Spectrogram 1	1	4.684336350	4.823906893	2294.1	12176.5	D:\LBH_display_videos\B&A_interactions\0.TR2.2013.4.16.07.03.(1)-C12_audio.mp3	0.TR2.2013.4.16.07.03.(1)-C12_audio.mp3	Before_interaction
8	Waveform 1	1	5.369104327	5.499951711	2294.1	10764.7	D:\LBH_display_videos\B&A_interactions\0.TR2.2013.4.16.07.03.(1)-C12_audio.mp3	0.TR2.2013.4.16.07.03.(1)-C12_audio.mp3	Before_interaction
8	Spectrogram 1	1	5.369104327	5.499951711	2294.1	10764.7	D:\LBH_display_videos\B&A_interactions\0.TR2.2013.4.16.07.03.(1)-C12_audio.mp3	0.TR2.2013.4.16.07.03.(1)-C12_audio.mp3	Before_interaction
9	Waveform 1	1	5.888132284	6.027702827	2647.1	9882.4	D:\LBH_display_videos\B&A_interactions\0.TR2.2013.4.16.07.03.(1)-C12_audio.mp3	0.TR2.2013.4.16.07.03.(1)-C12_audio.mp3	Before_interaction
9	Spectrogram 1	1	5.888132284	6.027702827	2647.1	9882.4	D:\LBH_display_videos\B&A_interactions\0.TR2.2013.4.16.07.03.(1)-C12_audio.mp3	0.TR2.2013.4.16.07.03.(1)-C12_audio.mp3	Before_interaction
11	Waveform 1	1	26.304685762	26.444256305	2823.5	12705.9	D:\LBH_display_videos\B&A_interactions\0.TR2.2013.4.16.07.03.(1)-C12_audio.mp3	0.TR2.2013.4.16.07.03.(1)-C12_audio.mp3	After_interaction
11	Spectrogram 1	1	26.304685762	26.444256305	2823.5	12705.9	D:\LBH_display_videos\B&A_interactions\0.TR2.2013.4.16.07.03.(1)-C12_audio.mp3	0.TR2.2013.4.16.07.03.(1)-C12_audio.mp3	After_interaction
12	Waveform 1	1	26.941476364	27.076685328	3000.0	12352.9	D:\LBH_display_videos\B&A_interactions\0.TR2.2013.4.16.07.03.(1)-C12_audio.mp3	0.TR2.2013.4.16.07.03.(1)-C12_audio.mp3	After_interaction
12	Spectrogram 1	1	26.941476364	27.076685328	3000.0	12352.9	D:\LBH_display_videos\B&A_interactions\0.TR2.2013.4.16.07.03.(1)-C12_audio.mp3	0.TR2.2013.4.16.07.03.(1)-C12_audio.mp3	After_interaction
13	Waveform 1	1	27.421250106	27.552097490	2470.6	11823.5	D:\LBH_display_videos\B&A_interactions\0.TR2.2013.4.16.07.03.(1)-C12_audio.mp3	0.TR2.2013.4.16.07.03.(1)-C12_audio.mp3	After_interaction
13	Spectrogram 1	1	27.421250106	27.552097490	2470.6	11823.5	D:\LBH_display_videos\B&A_interactions\0.TR2.2013.4.16.07.03.(1)-C12_audio.mp3	0.TR2.2013.4.16.07.03.(1)-C12_audio.mp3	After_interaction
